,id,max_bell,avge,median,bellwether
0,1,3,2.14,0.59,foursquared.csv
1,9,0,0.0,0.185,fluent-nhibernate.csv
2,12,2,1.5,0.7150000000000001,jaql.csv
3,15,2,1.67,0.73,openmalaria.csv
4,21,12,5.65,0.705,genoviz.csv
5,42,2,3.25,0.475,skia.csv
