,id,expected,max_bell,avge,median,bellwether,size
48,2,1,2,1.5,0.7949999999999999,logicmail.csv,2
44,3,3,3,1.8,0.63,benojt.csv,10
43,4,4,2,2.0,0.55,beast-mcmc.csv,13
50,5,5,4,2.64,0.53,emono.csv,14
19,6,7,6,2.2,0.535,gephex.csv,20
15,7,4,4,2.42,0.55,jsidplay2.csv,12
24,8,3,4,2.5,0.6799999999999999,google-collections.csv,8
22,10,0,0,0.0,0.18,atunes.csv,1
14,11,2,2,1.33,0.54,columba.csv,6
49,13,3,1,0.8,0.54,megameknet.csv,10
51,14,2,1,0.8,0.57,mplayer-ce.csv,5
17,16,6,9,4.39,0.635,multitude.csv,18
21,17,1,2,1.67,0.74,openmalaria.csv,3
12,18,4,1,0.33,0.475,twostep.csv,12
52,22,1,2,1.5,0.79,jajuk.csv,2
42,23,4,2,1.31,0.46499999999999997,werx.csv,14
41,24,3,2,1.33,0.56,ontomorphtab.csv,9
53,25,3,1,0.9,0.38,haphazard.csv,10
23,26,7,5,3.0,0.59,gss.csv,20
13,27,5,7,2.93,0.6,sylpheed-claws.csv,15
20,28,5,5,2.56,0.565,img-browse-sort.csv,16
16,29,6,8,4.88,0.615,yarp0.csv,18
33,30,6,5,2.83,0.48,qtractor.csv,18
29,31,2,3,1.5,0.66,selenium.csv,6
4,32,1,0,0.0,0.535,raygina.csv,2
11,33,5,9,5.27,0.72,arianne.csv,15
10,34,5,9,5.25,0.67,jmule.csv,16
5,35,7,2,1.65,0.525,libarchive.csv,20
28,36,4,3,1.83,0.51,rezilla.csv,12
34,37,2,1,0.57,0.45,pokeglobal.csv,7
27,38,6,8,4.17,0.625,nativeclient.csv,18
35,39,7,6,3.3,0.55,nicepress.csv,20
46,40,1,2,1.33,0.78,xinity.csv,3
39,41,2,4,2.17,0.74,libtorrent.csv,6
26,43,5,3,3.29,0.55,openwbem.csv,17
25,44,3,2,1.67,0.61,glas.csv,9
18,45,2,2,1.0,0.57,loki-lib.csv,7
38,46,2,5,2.67,0.885,rectracker.csv,6
47,47,7,4,2.65,0.505,galaxium.csv,20
40,48,4,1,0.62,0.4,thout.csv,13
45,49,1,1,0.5,0.47,ambulant.csv,2
2,50,4,2,1.91,0.49,electric-core.csv,11
7,51,3,2,1.22,0.53,unimrcp.csv,9
36,52,3,0,1.0,0.355,adobe-source.csv,10
32,53,5,8,3.53,0.76,somap.csv,15
31,54,5,5,2.36,0.595,frogatto.csv,14
37,55,1,1,1.0,0.655,alleg.csv,2
6,56,5,2,2.4,0.48,arm-webradio.csv,15
3,57,5,9,5.33,0.725,plato.csv,16
8,58,4,3,1.58,0.595,ipfilter.csv,12
1,59,6,5,3.41,0.5700000000000001,xharbour.csv,18
9,60,6,6,3.37,0.56,oppna-program-hsatools.csv,19
0,61,3,3,1.12,0.54,wikipediardware.csv,9
30,62,7,3,1.4,0.41500000000000004,lcfizvtop.csv,20
