,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,ardour.csv,pixel-commandos.csv,zxing.csv
ardour.csv,0.4,0.44,0.41,0.65,0.61,0.67,0.67,0.49,0.59,0.75,0.62,0.59,0.59,0.56,0.72,0.02,0.34,0.79
cornerstone.csv,0.5,0.53,0.43,0.92,0.86,0.65,0.54,0.64,0.69,0.81,0.1,0.61,0.58,0.53,0.63,0.5,0.52,0.77
emeraldemu.csv,0.57,0.53,0.42,0.6,0.78,0.75,0.53,0.02,0.7,0.42,0.82,0.78,0.58,0.61,0.55,0.53,0.54,0.76
grafx2.csv,0.37,0.51,0.44,0.64,0.67,0.58,0.67,0.41,0.54,0.55,0.61,0.63,0.6,0.0,0.59,0.57,0.71,0.69
jahshakafx.csv,0.05,0.61,0.76,0.72,0.74,0.95,0.78,0.7,0.83,0.84,0.88,0.89,0.77,0.98,0.84,0.65,0.5,0.72
maya-work-in-progress.csv,0.48,0.55,0.68,0.46,0.51,0.61,0.63,0.66,0.56,0.06,0.96,0.65,0.68,0.68,0.47,0.76,0.73,1.0
novembre.csv,0.59,0.65,0.49,0.88,0.81,0.86,0.13,0.72,0.75,0.79,0.74,0.82,0.84,0.87,0.78,0.67,0.29,0.77
ns-3.csv,0.57,0.76,0.67,0.76,0.69,0.01,0.91,0.6,0.57,0.68,0.61,0.64,0.63,0.4,0.67,0.74,0.46,0.69
nullc.csv,0.97,0.99,1.0,0.99,0.0,0.9,0.93,0.85,0.89,0.99,0.57,0.81,0.96,0.56,0.74,0.99,0.92,0.55
open-beos.csv,0.77,0.57,0.47,0.59,0.81,0.67,0.71,0.46,0.07,0.73,0.78,0.8,0.68,0.95,0.64,0.52,0.6,0.83
pixel-commandos.csv,0.88,0.88,0.85,0.96,0.96,0.98,0.93,0.95,0.99,1.0,0.96,1.0,0.94,1.0,0.86,0.89,0.0,0.98
planeshift.csv,0.53,0.53,0.79,0.68,0.57,0.63,0.78,0.71,0.69,0.83,0.62,0.61,0.07,0.3,0.78,0.85,0.79,0.75
plee-the-bear.csv,1.05,0.87,0.09,1.0,0.87,0.8,0.95,0.95,0.86,0.98,0.82,0.94,0.74,0.89,0.97,0.87,1.06,0.75
reaper-ecad.csv,0.57,0.83,0.53,0.0,0.7,0.77,0.87,0.81,0.86,0.79,0.79,0.89,0.67,1.0,0.57,0.64,1.04,0.79
sbml.csv,0.42,0.52,0.59,0.51,0.68,0.66,0.69,0.6,0.51,0.49,0.75,0.82,0.57,0.54,0.04,0.56,0.53,0.76
unimrcp.csv,0.56,0.75,0.73,0.71,0.74,0.89,0.82,0.77,0.83,0.91,0.73,0.04,0.78,0.72,0.96,0.71,0.76,0.89
unladen-swallow.csv,0.84,0.35,0.88,0.97,0.91,0.73,0.74,0.82,0.85,0.98,0.82,0.95,0.77,0.77,0.91,0.95,1.16,0.95
zxing.csv,0.42,0.56,0.75,0.63,0.62,0.63,0.53,0.64,0.63,0.73,0.71,0.78,0.52,0.86,0.47,0.65,0.58,0.02
