,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.75,0.73,0.97,0.92,0.82,0.97,0.72,0.57,0.77,0.92,0.86
gdis.csv,0.42,0.56,0.41,0.51,0.45,0.46,0.34,0.42,0.35,0.37,0.36
genoviz.csv,0.89,0.5,0.65,0.76,0.7,0.97,0.92,0.51,0.46,0.81,0.8
kml.csv,0.52,0.73,0.65,0.57,0.45,0.58,0.44,0.79,0.5,0.42,0.43
omseek.csv,0.88,0.67,0.98,0.98,0.8,0.96,0.71,0.96,0.93,0.65,0.6
ossbuild.csv,0.62,0.59,0.97,0.76,0.59,0.76,0.93,0.81,0.62,0.81,0.58
popeye-chess.csv,0.5,0.55,0.66,0.75,0.48,0.59,0.91,0.8,0.75,0.7,0.39
quarkplayer.csv,0.69,0.96,0.5,0.9,0.98,0.78,0.76,0.91,0.81,0.95,0.5
turbotrader-bos.csv,0.53,0.62,0.96,0.74,0.6,0.77,0.82,0.67,0.54,0.71,0.6
virtuoso.csv,0.39,0.46,0.42,0.4,0.43,0.46,0.67,0.8,0.86,0.36,0.35
zscreen.csv,0.5,0.54,0.51,0.43,0.49,0.61,0.57,0.51,0.41,0.47,0.4
