,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.09,0.3,0.11,0.21,0.28,0.11,0.38,0.42,0.25,1.0,0.0
gdis.csv,0.52,0.27,0.31,0.72,0.55,0.54,0.71,0.59,1.0,0.76,0.32
genoviz.csv,0.18,0.51,0.34,0.4,0.5,0.15,0.26,0.56,0.51,0.7,1.0
kml.csv,0.45,0.4,0.25,0.59,0.68,0.61,1.0,0.28,0.53,0.5,0.74
omseek.csv,0.28,0.07,0.42,0.31,0.35,0.82,0.42,0.17,0.21,0.36,0.44
ossbuild.csv,0.53,0.72,0.87,0.68,0.65,0.59,0.29,0.48,0.41,0.47,0.77
popeye-chess.csv,0.51,0.95,0.31,0.58,0.68,0.51,0.33,0.47,0.3,0.37,0.83
quarkplayer.csv,0.28,0.07,0.0,0.93,0.13,0.24,0.21,0.02,0.29,0.29,0.0
turbotrader-bos.csv,0.55,0.55,0.36,0.48,0.98,0.4,0.35,0.52,0.55,0.46,0.6
virtuoso.csv,0.0,0.59,0.0,0.3,0.17,0.5,0.07,0.92,0.25,0.29,0.33
zscreen.csv,0.97,0.75,0.66,0.56,0.67,0.61,0.51,0.7,0.67,0.51,0.71
