,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.12,0.39,0.09,0.17,0.31,0.1,0.44,0.33,0.34,1.0,0.0
gdis.csv,0.7,0.62,0.1,0.18,0.49,0.18,0.67,0.37,1.0,0.35,0.09
genoviz.csv,0.25,0.58,0.15,0.12,0.56,0.13,0.33,0.45,0.64,0.48,1.0
kml.csv,0.54,0.38,0.12,0.13,0.56,0.23,1.0,0.2,0.65,0.22,0.29
omseek.csv,0.35,0.11,0.25,0.09,0.31,0.87,0.44,0.18,0.28,0.17,0.2
ossbuild.csv,0.59,0.67,0.87,0.17,0.63,0.26,0.35,0.46,0.54,0.36,0.33
popeye-chess.csv,0.6,0.97,0.13,0.2,0.6,0.25,0.43,0.41,0.41,0.25,0.3
quarkplayer.csv,0.33,0.07,0.0,0.95,0.15,0.09,0.22,0.04,0.38,0.19,0.0
turbotrader-bos.csv,0.6,0.52,0.35,0.14,0.98,0.2,0.38,0.43,0.65,0.28,0.24
virtuoso.csv,0.74,0.64,0.22,0.13,0.48,0.21,0.1,0.93,0.34,0.23,0.2
zscreen.csv,0.98,0.71,0.27,0.15,0.56,0.26,0.51,0.45,0.77,0.25,0.25
