,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.94,0.74,0.92,0.82,0.78,0.91,0.68,0.68,0.79,0.0,1.01
gdis.csv,0.81,0.93,0.97,0.55,0.78,0.73,0.54,0.7,0.0,0.57,1.02
genoviz.csv,0.85,0.55,0.8,0.71,0.56,0.88,0.78,0.53,0.72,0.38,0.0
kml.csv,0.63,0.78,0.86,0.66,0.5,0.61,0.0,0.83,0.66,0.72,0.47
omseek.csv,0.78,0.94,0.67,0.8,0.78,0.21,0.71,0.87,0.91,0.79,0.67
ossbuild.csv,0.6,0.49,0.16,0.55,0.42,0.55,0.77,0.59,0.84,0.6,0.39
popeye-chess.csv,0.55,0.06,0.83,0.53,0.44,0.59,0.72,0.61,0.74,0.7,0.51
quarkplayer.csv,1.0,1.06,1.0,0.09,0.9,0.9,0.98,0.98,0.87,0.79,1.0
turbotrader-bos.csv,0.68,0.66,0.69,0.65,0.03,0.7,0.75,0.57,0.61,0.64,0.55
virtuoso.csv,1.0,0.47,1.0,0.92,0.96,0.82,0.94,0.1,0.8,0.93,0.91
zscreen.csv,0.04,0.39,0.7,0.8,0.49,0.54,0.66,0.53,0.5,0.65,0.67
