,barracudamvc.csv,sevenupdate.csv,mclient-mume.csv,dxengine.csv,jsidplay2.csv,sblim.csv,springside.csv,swtfox.csv,tmva.csv,calcubetimer.csv,freedom-erp.csv,joustsim.csv,madman.csv,reaper3d.csv,primefaces.csv,chaosrts.csv
barracudamvc.csv,0.34,0.44,0.39,0.42,0.43,0.5,0.46,0.44,0.52,0.42,0.35,0.49,0.41,0.37,0.33,0.38
calcubetimer.csv,0.32,0.44,0.39,0.46,0.0,0.0,0.42,0.0,0.0,0.43,0.0,0.46,0.4,0.84,0.29,0.43
chaosrts.csv,0.33,0.44,0.39,0.41,0.92,0.5,0.44,0.0,0.94,0.41,0.0,0.48,0.4,0.39,0.32,0.4
dxengine.csv,0.74,0.0,0.5,0.59,0.38,0.42,0.0,0.36,0.44,0.75,0.31,0.52,0.67,0.37,0.0,0.38
freedom-erp.csv,0.32,0.44,0.39,0.41,0.38,0.42,0.46,0.36,0.44,0.42,0.31,0.48,0.4,0.37,0.33,0.38
joustsim.csv,0.58,0.44,0.46,0.45,0.0,0.0,0.46,0.0,0.0,0.75,0.0,0.89,0.67,0.0,0.31,0.0
jsidplay2.csv,0.32,0.48,0.6,0.49,0.38,0.56,0.53,0.43,0.54,0.43,0.32,0.49,0.43,0.46,0.38,0.39
madman.csv,0.5,0.82,0.63,0.89,0.0,0.0,0.57,0.0,0.0,0.67,0.0,0.5,0.83,0.0,0.33,0.0
mclient-mume.csv,0.4,0.67,0.47,0.42,0.38,0.42,0.95,0.36,0.44,0.8,0.31,0.52,0.44,0.37,0.94,0.39
primefaces.csv,0.45,0.44,0.47,0.43,0.0,0.0,0.45,0.0,0.0,0.48,0.0,0.5,0.55,0.0,0.43,0.65
reaper3d.csv,0.57,0.43,0.53,0.47,0.0,0.0,0.48,0.0,0.0,0.4,0.0,0.35,0.62,0.5,0.35,0.89
sblim.csv,0.52,0.49,0.45,0.49,0.78,0.94,0.69,0.8,0.58,0.53,0.0,0.41,0.56,0.56,0.53,0.73
sevenupdate.csv,0.32,0.48,0.39,0.41,0.38,0.42,0.53,0.36,0.44,0.42,0.31,0.48,0.4,0.37,0.35,0.38
springside.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0
swtfox.csv,0.0,0.0,0.0,0.0,0.0,0.83,0.93,0.79,0.93,0.0,0.37,0.0,0.0,0.86,0.0,0.0
tmva.csv,0.32,0.44,0.39,0.41,0.37,0.56,0.46,0.5,0.46,0.42,0.0,0.48,0.4,0.37,0.33,0.38
