,barracudamvc.csv,sevenupdate.csv,mclient-mume.csv,dxengine.csv,jsidplay2.csv,sblim.csv,springside.csv,swtfox.csv,tmva.csv,calcubetimer.csv,freedom-erp.csv,joustsim.csv,madman.csv,reaper3d.csv,primefaces.csv,chaosrts.csv
barracudamvc.csv,0.97,0.98,1.0,0.96,0.88,0.77,1.0,0.78,0.87,0.98,0.86,1.0,1.0,1.0,1.0,1.0
calcubetimer.csv,0.81,1.0,1.0,0.81,0.0,0.0,0.96,0.0,0.0,1.0,0.0,1.0,0.88,0.12,0.88,0.81
chaosrts.csv,0.98,1.0,1.0,1.0,0.19,0.0,0.98,0.0,0.1,0.66,0.0,1.0,1.0,0.75,1.0,0.98
dxengine.csv,0.3,0.0,0.07,0.7,1.0,1.0,0.0,1.0,1.0,0.05,1.0,0.36,0.38,1.0,0.0,0.99
freedom-erp.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
joustsim.csv,0.38,1.0,0.57,0.52,0.0,0.0,1.0,0.0,0.0,0.21,0.0,0.82,0.5,0.0,0.9,0.0
jsidplay2.csv,0.89,0.88,0.47,0.67,0.9,0.45,0.61,0.38,0.78,0.86,0.94,0.91,0.88,0.62,0.6,0.94
madman.csv,0.0,0.18,0.5,0.19,0.0,0.0,0.53,0.0,0.0,0.48,0.0,0.0,0.75,0.0,0.68,0.0
mclient-mume.csv,0.7,0.49,0.93,0.78,1.0,1.0,0.14,1.0,1.0,0.23,1.0,0.73,0.88,1.0,0.22,0.88
primefaces.csv,0.67,0.88,0.53,0.89,0.0,0.0,0.86,0.0,0.0,0.45,0.0,0.82,0.38,0.0,0.85,0.47
reaper3d.csv,0.3,0.73,0.57,0.74,0.0,0.0,0.82,0.0,0.0,0.43,0.0,0.82,0.38,0.25,0.75,0.06
sblim.csv,0.33,0.78,0.8,0.67,0.22,0.5,0.47,0.08,0.33,0.27,0.0,0.73,0.62,0.5,0.57,0.22
sevenupdate.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.92,1.0
springside.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
swtfox.csv,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.78,0.07,0.0,0.8,0.0,0.0,0.0,0.0,0.01
tmva.csv,1.0,1.0,1.0,1.0,1.0,0.27,1.0,0.02,0.89,1.0,0.0,1.0,1.0,1.0,1.0,1.0
