,barracudamvc.csv,sevenupdate.csv,mclient-mume.csv,dxengine.csv,jsidplay2.csv,sblim.csv,springside.csv,swtfox.csv,tmva.csv,calcubetimer.csv,freedom-erp.csv,joustsim.csv,madman.csv,reaper3d.csv,primefaces.csv,chaosrts.csv
barracudamvc.csv,0.72,0.0,0.0,0.0,0.52,0.42,0.0,0.42,0.49,0.0,0.36,0.13,0.09,0.05,0.0,0.0
calcubetimer.csv,0.33,0.0,0.0,0.38,0.0,0.0,0.76,0.0,0.0,1.0,0.0,0.27,0.29,0.14,0.45,0.62
chaosrts.csv,0.0,0.0,0.0,0.0,0.23,0.0,0.62,0.0,0.12,0.62,0.0,0.47,0.0,0.51,0.27,0.63
dxengine.csv,0.34,0.0,0.09,0.74,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.39,0.43,0.0,0.0,0.0
freedom-erp.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joustsim.csv,0.42,0.0,0.6,0.55,0.0,0.0,0.27,0.0,0.0,0.25,0.0,0.85,0.54,0.0,0.52,0.0
jsidplay2.csv,0.2,0.48,0.38,0.54,0.87,0.38,0.6,0.31,0.52,0.84,0.53,0.13,0.17,0.54,0.52,0.48
madman.csv,0.0,0.21,0.54,0.23,0.0,0.0,0.55,0.0,0.0,0.41,0.0,0.0,0.79,0.0,0.6,0.0
mclient-mume.csv,0.63,0.49,0.91,0.69,0.0,0.0,0.16,0.0,0.0,0.26,0.0,0.73,0.74,0.0,0.25,0.37
primefaces.csv,0.54,0.48,0.44,0.34,0.0,0.0,0.75,0.0,0.0,0.46,0.0,0.76,0.39,0.0,0.82,0.52
reaper3d.csv,0.34,0.0,0.51,0.53,0.0,0.0,0.6,0.0,0.0,0.47,0.0,0.77,0.41,0.29,0.58,0.07
sblim.csv,0.36,0.7,0.57,0.62,0.26,0.55,0.46,0.1,0.37,0.32,0.0,0.72,0.6,0.51,0.57,0.26
sevenupdate.csv,0.0,0.96,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0
springside.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0
swtfox.csv,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.81,0.09,0.0,0.5,0.0,0.0,0.0,0.0,0.01
tmva.csv,0.0,0.0,0.0,0.0,0.47,0.27,0.0,0.02,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
