,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.57,0.52,0.5,0.61,0.76,0.74,0.68,0.38,0.88,1.0,0.76
ivatamasks.csv,0.96,0.25,0.98,0.4,0.98,0.72,1.0,0.63,0.96,0.96,0.93
java-gnome.csv,0.4,0.83,0.67,0.62,0.92,0.94,0.86,0.65,0.24,0.64,0.8
orc.csv,0.97,0.5,0.25,0.57,0.93,0.66,0.8,0.63,0.95,1.0,0.61
plato.csv,0.93,1.0,0.96,0.81,0.94,0.29,0.9,0.64,0.78,1.0,0.95
rodin-b-sharp.csv,0.47,1.13,0.57,0.82,0.86,0.63,0.22,0.8,0.45,1.0,0.72
tycho.csv,1.0,0.7,0.67,0.68,0.7,0.7,0.91,0.6,0.63,0.32,0.89
umber.csv,0.25,1.03,0.98,0.59,0.94,1.0,0.92,0.9,0.94,0.85,0.54
unicase.csv,0.28,1.01,0.91,0.91,0.76,0.75,0.71,0.72,0.88,0.85,0.45
vienna-add-in.csv,0.65,1.07,0.92,0.77,0.43,0.8,0.73,0.71,0.95,0.65,0.87
wpdev.csv,0.98,0.01,0.99,1.0,0.98,1.0,1.0,0.95,1.0,0.96,0.99
