,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv
calcubetimer.csv,0.43,0.05,0.37,0.29,0.91
chaperon.csv,0.34,0.28,0.44,0.98,0.3
mule.csv,0.67,0.02,0.24,0.29,0.62
springside.csv,0.67,0.69,0.43,0.61,0.64
swtfox.csv,0.2,0.37,0.65,0.26,0.19
