,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.88,0.29,0.0,0.65,0.73,0.6,0.4,0.6,0.78,0.8
arsenal-1.csv,0.8,0.4,0.66,0.5,0.57,0.5,0.4,0.35,0.8,1.0
barracudamvc.csv,0.94,0.45,0.47,0.39,0.86,0.37,0.27,0.19,0.76,0.65
irplus.csv,0.86,0.43,1.0,0.57,0.78,0.57,0.4,0.33,0.74,0.73
lite.csv,0.75,0.33,0.62,0.62,0.75,0.43,0.53,0.38,0.76,0.71
mevenide.csv,0.83,0.37,0.5,0.33,0.75,0.25,1.0,0.53,0.5,0.91
ontopia.csv,0.69,0.44,0.56,0.44,0.92,0.24,0.26,0.67,0.82,0.7
openintents.csv,0.96,0.56,0.43,0.33,0.75,0.41,0.39,0.23,0.62,0.74
ta3d.csv,0.75,0.5,0.46,0.5,0.77,0.64,0.27,0.33,0.75,0.71
tweetsharp.csv,0.88,0.5,0.48,0.41,0.97,0.33,0.27,0.17,0.86,0.69
