,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,uwom.csv,geochat.csv
adaptagrams.csv,0.84,0.82,0.47,0.32,0.37,0.51,0.14
aime.csv,0.61,0.88,0.17,0.0,0.43,0.08,0.24
badtrinitycore.csv,0.0,0.0,0.41,0.48,0.29,0.48,0.26
electric-core.csv,0.71,0.83,0.49,0.29,0.3,0.49,0.33
geochat.csv,0.64,0.88,0.21,0.08,0.17,0.1,0.47
olsrd.csv,0.75,0.82,0.41,0.3,0.25,0.44,0.44
uwom.csv,0.22,0.0,0.42,0.38,0.3,0.61,0.35
