,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.64,0.44,0.54,0.43,1.0,0.32,0.37,0.24,0.29,0.0,0.61,0.42
fityk.csv,0.55,0.37,0.62,0.53,0.38,0.33,0.62,0.11,1.0,0.62,0.54,0.54
hatari.csv,0.98,0.23,0.64,0.48,0.62,0.48,0.66,0.17,0.59,0.66,0.34,0.54
lmms.csv,0.62,0.66,0.3,1.0,0.61,0.34,0.37,0.58,0.32,0.8,0.28,0.43
mecat.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02
nullc.csv,0.13,0.98,0.3,0.5,0.0,0.52,0.13,0.38,0.0,0.68,0.2,0.57
oscarmcmaster.csv,0.54,0.31,0.57,0.16,0.21,0.2,0.13,0.58,0.13,0.7,0.46,0.98
superwaba.csv,0.5,0.44,1.0,0.53,0.62,0.45,0.58,0.55,0.53,0.6,0.58,0.62
tycho.csv,0.57,0.41,0.67,0.59,0.48,0.53,0.76,1.0,0.63,0.77,0.13,0.66
vienna-add-in.csv,0.0,0.0,0.67,0.27,0.0,0.99,0.09,0.26,0.32,0.36,0.57,0.59
voms.csv,0.24,0.12,0.53,0.22,0.06,0.17,1.0,0.27,0.06,0.38,0.13,0.42
wsmt.csv,0.49,0.28,0.32,0.32,0.56,0.17,0.37,0.41,0.21,0.0,0.99,0.25
