,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.41,0.6,0.57,0.55,0.82,0.58,0.61,0.77,0.79,0.45,0.4,0.51
fityk.csv,0.5,0.65,0.49,0.49,0.54,0.57,0.62,0.75,0.43,0.48,0.4,0.47
hatari.csv,0.61,0.85,0.49,0.64,0.45,0.49,0.5,0.88,0.56,0.37,0.61,0.5
lmms.csv,0.52,0.47,0.81,0.49,0.51,0.49,0.5,0.35,0.34,0.33,0.41,0.45
mecat.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0
nullc.csv,0.42,0.45,0.41,0.42,0.41,0.39,0.54,0.42,0.35,0.36,0.52,0.45
oscarmcmaster.csv,0.62,0.62,0.59,0.95,0.9,0.94,0.8,0.63,0.86,0.89,0.39,0.93
superwaba.csv,0.5,0.49,0.54,0.5,0.48,0.47,0.5,0.42,0.5,0.35,0.38,0.43
tycho.csv,0.62,0.61,0.48,0.5,0.62,0.43,0.47,0.54,0.42,0.38,0.48,0.48
vienna-add-in.csv,0.42,0.44,0.43,0.43,0.41,0.52,0.53,0.44,0.38,0.35,0.47,0.43
voms.csv,0.79,0.8,0.55,0.96,0.75,0.94,0.89,0.92,0.5,0.75,0.89,0.72
wsmt.csv,0.77,0.64,0.96,0.88,0.75,0.95,0.94,0.55,0.89,0.88,0.57,0.92
