,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.5,0.77,0.57,0.71,1.0,0.7,0.17,0.54,0.79,0.0,0.58,0.18
fityk.csv,0.5,0.94,0.42,0.64,0.22,0.5,0.15,0.75,1.0,0.06,0.53,0.21
hatari.csv,1.0,0.77,0.41,0.76,0.3,0.66,0.15,0.62,0.78,0.07,0.48,0.23
lmms.csv,0.58,0.86,0.5,1.0,0.31,0.64,0.17,0.65,0.66,0.08,0.33,0.21
mecat.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
nullc.csv,0.45,1.0,0.36,0.66,0.27,0.68,0.1,0.58,0.67,0.07,0.29,0.22
oscarmcmaster.csv,0.52,1.0,0.55,0.85,0.4,0.78,0.2,0.67,0.71,0.22,0.47,1.0
superwaba.csv,0.5,0.79,1.0,0.7,0.3,0.61,0.18,0.75,0.72,0.06,0.59,0.25
tycho.csv,0.55,1.0,0.44,0.75,0.34,0.69,0.19,1.0,0.71,0.08,0.17,0.3
vienna-add-in.csv,0.45,0.82,0.43,0.65,0.27,1.0,0.12,0.53,0.67,0.05,0.55,0.23
voms.csv,0.32,1.0,0.34,0.53,0.25,0.71,1.0,0.67,1.0,0.25,0.44,0.3
wsmt.csv,0.45,0.74,0.61,0.78,0.33,0.57,0.17,0.65,0.89,0.0,0.95,0.19
