,openefm.csv,jgnash.csv,ingex.csv,ambulant.csv,synecdoche.csv
ambulant.csv,0.94,0.73,0.22,0.0,0.56
ingex.csv,0.01,0.06,0.0,0.08,0.14
jgnash.csv,0.1,0.0,0.12,0.08,0.05
openefm.csv,0.01,0.28,0.12,0.18,0.33
synecdoche.csv,0.79,0.66,0.86,0.56,0.0
