,openefm.csv,jgnash.csv,ingex.csv,ambulant.csv,synecdoche.csv
ambulant.csv,0.24,0.54,0.52,0.96,0.57
ingex.csv,0.15,0.1,0.94,0.09,0.36
jgnash.csv,0.18,1.0,0.09,0.12,0.12
openefm.csv,0.97,0.36,0.46,0.2,0.51
synecdoche.csv,0.52,0.7,0.4,0.42,1.0
