,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.24,1.0,0.46,1.0,0.83,0.31,0.03,0.54,0.83,0.07,0.45,0.74
emulemorph.csv,0.07,0.03,0.02,1.0,0.0,0.0,0.94,0.07,0.02,0.43,0.0,0.11
fulguro.csv,0.07,0.03,0.0,0.0,0.06,0.23,0.19,0.05,0.09,0.17,0.91,0.0
fw4spl.csv,0.31,0.69,0.85,0.33,0.39,0.38,0.23,0.64,0.5,0.34,0.64,0.16
gnome-jabber.csv,0.9,0.74,0.81,1.0,0.83,0.81,0.9,1.0,0.83,0.92,1.0,0.95
ipfilter.csv,0.86,0.66,0.83,0.67,0.72,0.81,0.74,0.92,1.0,0.96,0.91,0.63
ipfire-wall.csv,0.38,0.2,0.27,0.0,0.94,0.27,0.61,0.09,0.46,0.58,0.45,0.37
libmesh.csv,0.19,0.05,0.19,0.17,0.11,0.88,0.97,0.15,0.43,0.52,0.27,0.0
rockbox.csv,0.6,0.33,0.25,0.67,0.44,0.38,0.29,0.23,0.22,0.42,0.45,1.0
soar.csv,0.86,0.86,0.73,0.83,0.5,0.92,1.0,0.92,0.87,0.89,0.82,0.79
tencompetence.csv,0.43,0.09,0.19,0.33,0.28,0.27,0.16,0.01,0.11,0.99,0.36,0.11
xbrlapi.csv,0.95,0.24,0.54,0.0,0.5,0.62,0.39,0.93,0.52,0.34,0.55,0.74
