,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.34,1.0,0.22,0.14,0.48,0.29,0.06,0.69,0.75,0.12,0.2,0.67
emulemorph.csv,0.13,0.05,0.04,1.0,0.0,0.0,0.68,0.12,0.04,0.54,0.0,0.19
fulguro.csv,0.13,0.06,0.0,0.0,0.09,0.31,0.29,0.1,0.15,0.28,0.95,0.0
fw4spl.csv,0.4,0.71,0.92,0.13,0.29,0.41,0.3,0.76,0.56,0.45,0.26,0.14
gnome-jabber.csv,0.66,0.76,0.21,0.12,0.45,0.51,0.68,0.99,0.75,0.75,0.23,0.54
ipfilter.csv,0.62,0.69,0.22,0.08,0.53,0.53,0.65,0.93,1.0,0.8,0.24,0.46
ipfire-wall.csv,0.46,0.33,0.2,0.0,0.97,0.25,0.54,0.16,0.57,0.62,0.26,0.45
libmesh.csv,0.27,0.1,0.14,0.06,0.18,0.92,0.7,0.26,0.59,0.59,0.14,0.0
rockbox.csv,0.56,0.47,0.15,0.12,0.43,0.36,0.38,0.37,0.34,0.53,0.23,1.0
soar.csv,0.64,0.8,0.24,0.12,0.34,0.55,1.0,0.94,0.82,0.75,0.25,0.52
tencompetence.csv,0.48,0.15,0.12,0.08,0.34,0.29,0.24,0.02,0.2,0.99,0.26,0.17
xbrlapi.csv,0.98,0.37,0.23,0.0,0.49,0.43,0.47,0.94,0.61,0.43,0.29,0.72
