,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.2,0.58,0.51,0.96,0.62,0.24,0.56,0.27,0.7,0.0
flylegacy.csv,0.64,0.18,0.98,0.39,0.72,0.26,0.72,0.5,0.62,0.21
ftm.csv,0.28,0.48,0.68,0.4,0.47,0.35,0.28,0.73,0.98,0.29
jcache.csv,0.16,0.03,0.17,0.27,0.2,0.22,0.04,0.5,0.36,1.0
lphant.csv,0.44,0.27,0.48,0.54,0.3,0.48,0.44,0.95,0.52,0.53
minig.csv,0.76,0.21,0.44,0.61,0.64,0.93,0.4,0.36,0.49,0.68
mob-sen-plat.csv,0.32,0.97,0.29,0.14,0.12,0.26,0.52,0.36,0.31,0.21
raygina.csv,0.96,0.09,0.48,0.34,0.23,0.39,0.24,0.45,0.34,0.41
upp-mirror.csv,0.52,0.09,0.59,0.57,0.97,0.15,0.52,0.5,0.3,0.12
yarp.csv,0.24,0.09,0.49,0.4,0.31,0.39,1.0,0.36,0.38,0.35
