,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.23,0.53,0.52,0.97,0.55,0.26,0.51,0.31,0.51,0.0
flylegacy.csv,0.58,0.21,0.98,0.43,0.65,0.3,0.58,0.53,0.6,0.25
ftm.csv,0.32,0.53,0.62,0.43,0.5,0.4,0.32,0.65,0.98,0.33
jcache.csv,0.19,0.04,0.2,0.31,0.23,0.26,0.05,0.52,0.4,1.0
lphant.csv,0.48,0.31,0.51,0.54,0.34,0.51,0.47,0.96,0.52,0.56
minig.csv,0.72,0.24,0.47,0.58,0.62,0.94,0.44,0.41,0.51,0.71
mob-sen-plat.csv,0.36,0.98,0.32,0.17,0.14,0.29,0.55,0.38,0.35,0.25
raygina.csv,0.97,0.11,0.47,0.38,0.27,0.43,0.27,0.47,0.38,0.46
upp-mirror.csv,0.52,0.11,0.6,0.58,0.97,0.18,0.47,0.54,0.34,0.15
yarp.csv,0.28,0.11,0.5,0.44,0.35,0.41,1.0,0.4,0.42,0.34
