,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.91,0.73,0.64,0.04,0.72,0.95,0.77,0.77,0.8,1.18
flylegacy.csv,0.68,0.82,0.02,0.68,0.61,0.75,0.74,0.58,0.61,0.79
ftm.csv,0.74,0.52,0.63,0.69,0.65,0.66,0.74,0.61,0.02,0.73
jcache.csv,0.85,0.97,0.86,0.76,0.87,0.81,0.96,0.64,0.69,0.0
lphant.csv,0.63,0.81,0.61,0.64,0.72,0.6,0.67,0.05,0.67,0.53
minig.csv,0.48,0.91,0.64,0.63,0.57,0.07,0.67,0.64,0.64,0.36
mob-sen-plat.csv,0.74,0.03,0.82,0.9,0.9,0.89,0.55,0.82,0.77,0.8
raygina.csv,0.04,0.92,0.76,0.73,0.8,0.69,0.84,0.71,0.73,0.59
upp-mirror.csv,0.67,0.91,0.55,0.56,0.04,0.85,0.81,0.52,0.72,0.88
yarp.csv,0.8,0.91,0.68,0.65,0.71,0.77,0.0,0.69,0.67,0.94
