,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv
apertium.csv,0.63,0.37,0.32,0.51,0.39,0.47,0.06,0.67,0.8,0.39,0.17,0.51,0.31,0.33,0.06,0.61
beast-mcmc.csv,0.74,0.44,0.71,0.56,0.51,0.63,0.5,0.67,0.48,0.4,0.65,0.52,0.65,0.41,0.5,0.58
bigdata.csv,0.43,0.5,0.45,0.51,0.54,0.34,0.0,0.25,0.05,0.54,0.0,0.32,0.68,0.3,0.31,0.48
cuberok.csv,0.55,0.36,0.41,0.31,0.52,0.45,0.7,0.44,0.47,0.59,0.38,0.4,0.61,0.74,0.17,0.35
exist.csv,0.58,0.48,0.64,0.72,0.52,0.13,0.56,0.43,0.41,0.77,0.52,0.48,0.52,0.13,0.0,0.47
icescrum.csv,0.73,0.37,0.45,0.57,0.37,0.56,0.48,0.63,0.55,0.37,0.48,0.48,0.47,0.27,0.21,0.7
jbasic.csv,0.63,0.4,0.56,0.48,0.51,0.55,0.55,0.74,0.27,0.27,0.13,0.0,0.47,0.33,0.32,0.51
jrefactory.csv,0.41,0.73,0.46,0.41,0.25,0.38,0.56,0.38,0.48,0.14,0.59,0.3,0.41,0.5,0.46,0.51
jsecurity.csv,0.37,0.41,0.7,0.19,0.59,0.46,0.38,0.28,0.27,0.65,0.29,0.28,0.29,0.17,0.21,0.25
libopenmetaverse.csv,0.0,0.13,0.0,0.21,0.61,0.0,0.38,0.0,0.59,0.46,0.0,0.56,0.13,0.13,0.31,0.0
mobicents.csv,0.71,0.49,0.5,0.5,0.4,0.67,0.53,0.64,0.51,0.61,0.59,0.56,0.56,0.53,0.54,0.51
opendvr.csv,0.69,0.39,0.5,0.56,0.0,0.62,0.4,0.6,0.44,0.62,0.56,0.27,0.43,0.2,0.66,0.6
power-architect.csv,0.66,0.56,0.69,0.54,0.33,0.57,0.13,0.32,0.44,0.36,0.17,0.84,0.61,0.74,0.0,0.32
sidekar.csv,0.0,0.0,0.0,0.82,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wheat.csv,0.63,0.29,0.6,0.51,0.54,0.58,0.52,0.39,0.68,0.33,0.71,0.66,0.56,0.17,0.53,0.62
wsmt.csv,0.25,0.1,0.12,0.06,0.07,0.36,0.0,0.34,0.05,0.19,0.13,0.23,0.29,0.76,0.06,0.0
