,lamp.csv,thout.csv,fityk.csv,hibernate.csv
fityk.csv,0.64,0.77,0.64,0.48
hibernate.csv,0.21,0.95,0.43,0.57
lamp.csv,0.57,0.36,0.57,0.57
thout.csv,0.57,0.68,0.89,0.81
