,lamp.csv,thout.csv,fityk.csv,hibernate.csv
fityk.csv,0.52,0.53,0.43,0.56
hibernate.csv,0.88,0.47,0.6,0.56
lamp.csv,0.59,0.74,0.45,0.53
thout.csv,0.53,0.54,0.38,0.45
