,lsb.csv,mcore3d.csv,yield.csv,maya-work-in-progress.csv,mscore.csv,hydrogen.csv,xemeiah.csv,virtuoso.csv,enzo.csv,xined.csv,lphant.csv,salasaga.csv,keyczar.csv,xtreemfs.csv,autowikibrowser.csv,rocrail.csv,natpad.csv
autowikibrowser.csv,0.88,0.55,0.88,0.86,0.61,0.7,0.44,0.36,0.54,0.57,0.56,0.48,0.58,0.6,0.48,0.34,0.53
enzo.csv,0.91,0.47,0.56,0.47,0.43,0.48,0.48,0.35,0.39,0.42,0.37,0.47,0.44,0.4,0.4,0.42,0.4
hydrogen.csv,0.94,0.88,0.94,0.82,0.7,0.79,0.91,0.46,0.84,0.83,0.5,0.79,0.67,0.97,0.93,0.45,0.48
keyczar.csv,0.88,0.74,0.92,0.85,0.93,0.93,0.59,0.52,0.49,0.72,0.9,0.62,0.45,0.82,0.76,0.83,0.8
lphant.csv,0.98,0.61,0.47,0.6,0.51,0.55,0.49,0.52,0.94,0.42,0.53,0.69,0.5,0.55,0.55,0.38,0.8
lsb.csv,0.6,0.49,0.74,0.58,0.43,0.62,0.52,0.39,0.43,0.38,0.48,0.42,0.57,0.51,0.43,0.35,0.37
maya-work-in-progress.csv,0.81,0.35,0.4,0.5,0.36,0.43,0.39,0.34,0.39,0.37,0.33,0.68,0.4,0.38,0.35,0.34,0.42
mcore3d.csv,0.88,0.46,0.49,0.55,0.45,0.55,0.47,0.33,0.35,0.4,0.34,0.46,0.5,0.49,0.38,0.42,0.34
mscore.csv,0.91,0.48,0.81,0.55,0.47,0.51,0.52,0.42,0.53,0.5,0.69,0.65,0.41,0.4,0.68,0.37,0.48
natpad.csv,0.75,0.69,0.66,0.81,0.6,0.69,0.57,0.47,0.61,0.46,0.83,0.66,0.62,0.64,0.89,0.51,0.57
rocrail.csv,0.5,0.94,0.9,0.83,0.89,0.69,0.64,0.53,0.94,0.67,0.75,0.89,0.5,0.96,0.88,0.67,0.52
salasaga.csv,0.56,0.57,0.56,0.48,0.51,0.6,0.63,0.48,0.56,0.67,0.59,0.88,0.48,0.4,0.49,0.51,0.6
virtuoso.csv,0.74,0.55,0.61,0.69,0.52,0.62,0.5,0.79,0.58,0.57,0.41,0.75,0.88,0.35,0.44,0.6,0.42
xemeiah.csv,0.88,0.59,0.8,0.83,0.54,0.55,0.58,0.42,0.52,0.5,0.78,0.49,0.86,0.7,0.71,0.4,0.47
xined.csv,0.82,0.93,0.8,0.0,0.92,0.89,0.67,0.61,0.8,0.9,0.8,0.62,0.0,0.65,0.86,0.75,0.49
xtreemfs.csv,0.0,0.6,0.49,0.88,0.59,0.59,0.35,0.97,0.63,0.36,0.32,0.93,0.45,0.34,0.36,0.93,0.46
yield.csv,0.64,0.42,0.52,0.53,0.41,0.58,0.48,0.33,0.44,0.38,0.39,0.54,0.52,0.46,0.33,0.43,0.43
