,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv,codesmith.csv
apertium.csv,0.73,0.77,0.73,0.65,0.75,0.65,0.95,0.47,0.26,0.76,0.8,0.74,0.79,0.86,1.0,0.63,0.85
beast-mcmc.csv,0.41,0.85,0.58,0.73,0.62,0.6,0.78,0.5,0.83,0.8,0.62,0.63,0.56,1.01,0.65,0.75,0.54
bigdata.csv,0.69,0.71,0.7,0.58,0.61,0.66,1.0,0.78,0.92,0.63,1.0,0.74,0.64,0.46,0.79,0.69,0.64
codesmith.csv,0.6,0.7,0.64,0.71,0.72,0.88,0.94,0.94,0.94,0.59,0.8,0.97,0.61,0.73,0.91,0.65,0.25
cuberok.csv,0.63,0.8,0.72,0.71,0.69,0.72,0.37,0.69,0.79,0.67,0.87,0.82,0.59,0.57,0.96,0.65,0.89
exist.csv,0.8,0.85,0.76,0.52,0.86,0.98,0.78,0.94,0.95,0.36,0.81,0.78,0.65,0.97,1.0,0.84,1.0
icescrum.csv,0.39,0.67,0.71,0.58,0.72,0.56,0.63,0.48,0.59,0.76,0.61,0.61,0.68,1.0,0.81,0.22,0.87
jbasic.csv,0.7,0.94,0.62,0.69,0.7,0.76,0.66,0.44,0.9,0.92,0.92,1.0,0.62,1.0,0.91,0.82,0.83
jrefactory.csv,0.83,0.51,0.88,0.75,0.88,0.76,0.75,0.73,0.82,0.9,0.77,0.76,0.76,0.93,0.67,0.7,0.93
jsecurity.csv,0.81,0.83,0.42,0.86,0.79,0.69,0.78,0.94,0.98,0.66,0.81,0.76,0.84,0.96,0.76,0.82,0.87
libopenmetaverse.csv,1.0,0.97,1.0,0.92,0.5,1.0,0.9,1.0,0.71,0.71,1.0,0.95,1.0,1.0,0.83,0.97,0.48
mobicents.csv,0.53,0.71,0.58,0.49,0.9,0.47,0.75,0.68,0.58,0.76,0.68,0.75,0.6,0.74,0.83,0.83,0.91
opendvr.csv,0.55,0.84,0.54,0.52,1.0,0.53,0.8,0.67,0.63,0.62,0.46,0.93,0.87,0.89,0.52,0.52,0.88
power-architect.csv,0.69,0.97,0.59,0.64,0.94,0.82,0.89,0.79,0.85,0.97,0.92,0.31,0.62,0.55,1.0,0.97,1.0
sidekar.csv,1.0,1.0,1.0,0.28,1.0,1.0,0.81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wheat.csv,0.6,0.75,0.56,0.62,0.83,0.67,0.64,0.76,0.56,0.88,0.41,0.58,0.71,0.85,0.64,0.54,0.92
wsmt.csv,0.81,0.95,0.91,0.95,0.92,0.79,0.82,0.81,0.89,0.91,0.9,0.92,0.85,0.28,0.92,0.97,0.93
