,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv,codesmith.csv
apertium.csv,0.4,0.37,0.29,0.55,0.43,0.49,0.09,0.72,0.73,0.37,0.32,0.64,0.45,0.45,0.0,0.49,0.3
beast-mcmc.csv,0.57,0.6,0.38,0.64,0.54,0.63,0.43,0.67,0.34,0.73,0.69,0.7,0.81,0.4,0.42,0.59,0.64
bigdata.csv,0.38,0.49,0.28,0.58,0.62,0.48,0.56,0.33,0.13,0.59,0.7,0.44,0.83,0.7,0.31,0.44,0.53
codesmith.csv,0.43,0.73,0.31,0.74,0.56,0.63,0.55,0.63,0.11,0.7,0.61,0.72,0.66,0.63,0.41,0.5,0.87
cuberok.csv,0.4,0.36,0.26,0.45,0.59,0.46,0.68,0.44,0.29,0.63,0.38,0.48,0.74,0.76,0.46,0.48,0.36
exist.csv,0.47,0.72,0.35,0.73,0.67,0.67,0.56,0.63,0.33,0.77,0.66,0.73,0.59,0.71,0.45,0.5,0.78
icescrum.csv,0.6,0.48,0.28,0.57,0.41,0.59,0.47,0.64,0.45,0.37,0.54,0.57,0.54,0.23,0.25,0.81,0.23
jbasic.csv,0.46,0.5,0.32,0.79,0.6,0.65,0.49,0.72,0.48,0.72,0.17,0.86,0.58,0.38,0.44,0.55,0.44
jrefactory.csv,0.36,0.7,0.26,0.5,0.21,0.41,0.46,0.51,0.41,0.18,0.56,0.38,0.52,0.7,0.38,0.46,0.71
jsecurity.csv,0.27,0.39,0.5,0.24,0.54,0.45,0.37,0.11,0.14,0.65,0.31,0.38,0.28,0.13,0.32,0.27,0.72
libopenmetaverse.csv,0.42,0.73,0.32,0.79,0.64,0.67,0.47,0.66,0.53,0.54,0.7,0.78,0.94,0.7,0.24,0.55,0.79
mobicents.csv,0.53,0.55,0.39,0.66,0.49,0.67,0.59,0.71,0.47,0.75,0.55,0.69,0.74,0.7,0.48,0.52,0.23
opendvr.csv,0.49,0.44,0.43,0.69,0.66,0.64,0.36,0.58,0.42,0.72,0.69,0.85,0.83,0.21,0.5,0.55,0.51
power-architect.csv,0.45,0.59,0.41,0.63,0.67,0.64,0.59,0.38,0.47,0.71,0.72,0.85,0.82,0.74,0.45,0.53,0.79
sidekar.csv,0.0,0.0,0.0,0.84,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0
wheat.csv,0.44,0.51,0.37,0.56,0.57,0.58,0.47,0.53,0.55,0.73,0.71,0.77,0.72,0.26,0.44,0.58,0.77
wsmt.csv,0.25,0.1,0.13,0.09,0.15,0.33,0.29,0.31,0.16,0.16,0.18,0.29,0.31,0.81,0.13,0.08,0.19
