,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv,codesmith.csv
apertium.csv,0.37,0.58,0.81,0.45,0.52,0.54,0.0,0.48,0.63,0.74,0.8,0.35,0.54,0.39,0.0,0.38,0.65
beast-mcmc.csv,0.5,0.4,0.49,0.52,0.48,0.41,0.41,0.42,0.4,0.35,0.33,0.38,0.41,0.38,0.45,0.36,0.56
bigdata.csv,0.82,0.5,0.7,0.54,0.45,0.64,0.37,0.63,0.8,0.44,0.35,0.58,0.46,0.56,0.76,0.46,0.62
codesmith.csv,0.55,0.46,0.62,0.51,0.53,0.38,0.39,0.46,0.92,0.46,0.39,0.41,0.54,0.47,0.46,0.41,0.48
cuberok.csv,0.71,0.59,0.58,0.6,0.47,0.51,0.56,0.59,0.68,0.45,0.54,0.62,0.47,0.43,0.45,0.37,0.64
exist.csv,0.36,0.39,0.47,0.45,0.37,0.36,0.37,0.44,0.43,0.43,0.33,0.38,0.46,0.33,0.44,0.37,0.36
icescrum.csv,0.6,0.54,0.73,0.62,0.56,0.48,0.38,0.49,0.49,0.84,0.77,0.5,0.54,0.52,0.56,0.48,0.92
jbasic.csv,0.39,0.43,0.58,0.46,0.47,0.4,0.48,0.5,0.43,0.36,0.88,0.35,0.53,0.37,0.47,0.37,0.56
jrefactory.csv,0.41,0.5,0.55,0.57,0.75,0.66,0.4,0.55,0.48,0.92,0.36,0.71,0.57,0.34,0.48,0.48,0.41
jsecurity.csv,0.97,0.5,0.48,0.92,0.46,0.67,0.63,0.86,0.64,0.48,0.82,0.79,0.98,0.92,0.85,0.91,0.43
libopenmetaverse.csv,0.33,0.38,0.46,0.46,0.48,0.36,0.41,0.43,0.46,0.47,0.35,0.36,0.4,0.32,0.44,0.32,0.42
mobicents.csv,0.4,0.4,0.58,0.49,0.43,0.44,0.43,0.42,0.54,0.36,0.56,0.38,0.39,0.38,0.48,0.36,0.73
opendvr.csv,0.41,0.5,0.62,0.47,0.34,0.43,0.64,0.49,0.64,0.41,0.52,0.33,0.4,0.75,0.77,0.48,0.46
power-architect.csv,0.43,0.41,0.45,0.56,0.35,0.39,0.38,0.57,0.44,0.35,0.36,0.44,0.43,0.46,0.44,0.33,0.36
sidekar.csv,0.0,0.0,0.0,0.48,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0
wheat.csv,0.54,0.64,0.64,0.68,0.42,0.5,0.4,0.6,0.48,0.36,0.52,0.47,0.55,0.83,0.48,0.41,0.39
wsmt.csv,0.98,0.89,0.96,0.67,0.8,0.95,0.83,0.95,0.83,0.96,0.8,0.94,0.98,0.69,0.88,0.86,0.84
