,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv,codesmith.csv
apertium.csv,0.65,0.26,0.15,0.34,0.43,0.27,0.0,0.44,0.17,0.12,0.17,0.57,0.38,0.67,0.0,0.47,0.29
beast-mcmc.csv,0.27,0.79,0.53,0.63,0.37,0.52,0.63,0.41,0.67,0.8,0.58,0.5,0.49,0.83,0.51,0.75,0.29
bigdata.csv,0.16,0.42,0.28,0.24,0.51,0.27,1.0,0.18,0.05,0.45,1.0,0.21,0.59,0.37,0.53,0.5,0.24
codesmith.csv,0.42,0.68,0.35,0.68,0.6,0.87,0.94,0.94,0.17,0.53,0.75,0.93,0.38,0.67,0.89,0.53,0.21
cuberok.csv,0.28,0.34,0.47,0.24,0.6,0.42,0.26,0.17,0.4,0.59,0.58,0.5,0.46,0.57,0.96,0.5,0.53
exist.csv,0.8,0.84,0.76,0.45,0.86,0.98,0.77,0.94,0.86,0.25,0.79,0.71,0.32,0.97,1.0,0.81,1.0
icescrum.csv,0.22,0.24,0.25,0.16,0.2,0.33,0.31,0.24,0.4,0.12,0.08,0.21,0.27,0.6,0.25,0.19,0.12
jbasic.csv,0.68,0.82,0.44,0.68,0.63,0.74,0.51,0.39,0.9,0.92,0.21,1.0,0.19,0.8,0.91,0.81,0.53
jrefactory.csv,0.76,0.42,0.82,0.5,0.2,0.43,0.63,0.56,0.78,0.02,0.67,0.07,0.43,0.93,0.4,0.56,0.91
jsecurity.csv,0.11,0.5,0.22,0.08,0.69,0.27,0.51,0.05,0.5,0.58,0.21,0.07,0.11,0.3,0.47,0.22,0.85
libopenmetaverse.csv,1.0,0.97,1.0,0.92,0.31,1.0,0.86,1.0,0.71,0.52,1.0,0.93,1.0,1.0,0.4,0.97,0.44
mobicents.csv,0.51,0.53,0.21,0.13,0.8,0.33,0.74,0.68,0.41,0.75,0.5,0.64,0.46,0.73,0.83,0.81,0.35
opendvr.csv,0.49,0.61,0.18,0.39,1.0,0.4,0.54,0.58,0.29,0.59,0.33,0.93,0.84,0.23,0.32,0.31,0.71
power-architect.csv,0.66,0.92,0.59,0.5,0.94,0.8,0.89,0.42,0.84,0.96,0.92,0.21,0.57,0.53,1.0,0.97,1.0
sidekar.csv,0.0,0.0,0.0,0.21,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
wheat.csv,0.48,0.53,0.43,0.29,0.77,0.54,0.4,0.65,0.53,0.88,0.21,0.5,0.59,0.2,0.53,0.47,0.91
wsmt.csv,0.17,0.16,0.12,0.0,0.06,0.24,0.06,0.14,0.16,0.15,0.08,0.43,0.24,0.1,0.11,0.19,0.32
