,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv,codesmith.csv
apertium.csv,0.28,0.58,0.31,0.69,0.48,0.62,1.0,0.64,0.67,0.74,0.6,0.78,0.85,0.44,0.0,0.42,0.57
beast-mcmc.csv,0.49,0.54,0.25,0.63,0.58,0.58,0.35,0.62,0.25,0.6,0.61,0.82,0.92,0.38,0.32,0.43,0.78
bigdata.csv,0.44,0.58,0.23,0.77,0.57,0.61,0.39,0.56,0.4,0.62,0.54,0.84,0.9,0.69,0.24,0.38,0.76
codesmith.csv,0.34,0.63,0.23,0.67,0.51,0.5,0.39,0.48,0.17,0.65,0.53,0.75,0.91,0.56,0.28,0.41,0.89
cuberok.csv,0.37,0.52,0.18,0.7,0.53,0.51,0.64,0.66,0.26,0.6,0.42,0.73,0.91,0.65,0.3,0.41,0.5
exist.csv,0.31,0.59,0.22,0.73,0.52,0.51,0.41,0.48,0.23,0.8,0.55,0.79,0.91,0.55,0.29,0.37,0.65
icescrum.csv,0.54,0.68,0.24,0.82,0.61,0.63,0.48,0.7,0.38,0.74,0.85,0.88,0.91,0.28,0.28,0.74,0.69
jbasic.csv,0.31,0.47,0.23,0.69,0.53,0.54,0.42,0.66,0.32,0.58,0.38,0.78,0.94,0.37,0.29,0.4,0.56
jrefactory.csv,0.25,0.69,0.16,0.6,0.42,0.48,0.37,0.48,0.29,0.85,0.52,0.93,0.86,0.55,0.32,0.38,0.63
jsecurity.csv,0.41,0.47,0.4,0.75,0.48,0.59,0.33,0.57,0.12,0.61,0.55,0.93,0.92,0.25,0.26,0.36,0.64
libopenmetaverse.csv,0.27,0.58,0.19,0.65,0.67,0.51,0.35,0.49,0.37,0.56,0.54,0.77,0.88,0.54,0.22,0.38,0.78
mobicents.csv,0.38,0.57,0.34,0.87,0.43,0.68,0.43,0.57,0.38,0.62,0.56,0.79,0.91,0.58,0.32,0.38,0.45
opendvr.csv,0.36,0.48,0.38,0.74,0.5,0.63,0.32,0.52,0.39,0.65,0.7,0.79,0.87,0.42,0.43,0.52,0.56
power-architect.csv,0.31,0.51,0.27,0.67,0.51,0.52,0.42,0.43,0.32,0.57,0.56,0.93,0.9,0.65,0.29,0.37,0.65
sidekar.csv,0.0,0.0,0.0,0.87,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0
wheat.csv,0.33,0.55,0.26,0.72,0.48,0.54,0.44,0.47,0.4,0.59,0.78,0.84,0.88,0.5,0.33,0.48,0.66
wsmt.csv,0.32,0.33,0.17,1.0,0.6,0.52,0.67,0.59,0.25,0.46,0.6,0.62,0.85,0.9,0.25,0.14,0.42
