,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv,codesmith.csv
apertium.csv,0.57,0.31,0.32,0.48,0.42,0.45,0.06,0.76,0.81,0.29,0.25,0.51,0.34,0.43,0.0,0.57,0.23
beast-mcmc.csv,0.71,0.47,0.68,0.56,0.52,0.63,0.5,0.68,0.47,0.54,0.67,0.58,0.67,0.33,0.57,0.61,0.58
bigdata.csv,0.38,0.45,0.4,0.51,0.62,0.43,0.0,0.28,0.1,0.56,0.0,0.34,0.65,0.69,0.42,0.52,0.45
codesmith.csv,0.58,0.64,0.49,0.63,0.55,0.4,0.24,0.24,0.1,0.67,0.52,0.25,0.54,0.58,0.36,0.59,0.85
cuberok.csv,0.48,0.31,0.47,0.37,0.59,0.44,0.73,0.38,0.35,0.59,0.37,0.37,0.61,0.74,0.17,0.56,0.3
exist.csv,0.54,0.47,0.59,0.69,0.44,0.09,0.56,0.24,0.36,0.74,0.52,0.54,0.46,0.13,0.0,0.48,0.0
icescrum.csv,0.7,0.41,0.37,0.49,0.35,0.57,0.48,0.62,0.57,0.29,0.44,0.47,0.42,0.22,0.27,0.87,0.17
jbasic.csv,0.63,0.38,0.56,0.67,0.59,0.57,0.57,0.75,0.35,0.3,0.13,0.0,0.45,0.33,0.32,0.51,0.38
jrefactory.csv,0.49,0.68,0.44,0.45,0.17,0.4,0.53,0.52,0.5,0.12,0.52,0.28,0.4,0.27,0.47,0.55,0.31
jsecurity.csv,0.24,0.35,0.66,0.17,0.51,0.4,0.42,0.07,0.19,0.61,0.25,0.28,0.2,0.11,0.43,0.25,0.43
libopenmetaverse.csv,0.0,0.13,0.0,0.3,0.62,0.0,0.4,0.0,0.66,0.5,0.0,0.26,0.0,0.0,0.3,0.13,0.74
mobicents.csv,0.74,0.52,0.5,0.57,0.42,0.67,0.61,0.68,0.6,0.61,0.53,0.54,0.6,0.61,0.5,0.5,0.19
opendvr.csv,0.68,0.41,0.53,0.65,0.0,0.64,0.42,0.59,0.48,0.68,0.68,0.27,0.44,0.17,0.61,0.6,0.42
power-architect.csv,0.63,0.28,0.74,0.57,0.24,0.51,0.38,0.36,0.47,0.17,0.3,0.78,0.65,0.74,0.0,0.13,0.0
sidekar.csv,0.0,0.0,0.0,0.81,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wheat.csv,0.61,0.47,0.62,0.49,0.49,0.58,0.52,0.52,0.73,0.4,0.67,0.65,0.55,0.2,0.6,0.69,0.32
wsmt.csv,0.25,0.07,0.12,0.06,0.1,0.29,0.21,0.25,0.14,0.12,0.13,0.22,0.22,0.77,0.11,0.06,0.14
