,rezilla.csv,webdriver.csv,minig.csv,ossbuild.csv,jparsec.csv,kmess.csv
jparsec.csv,0.4,0.54,0.46,0.23,0.62,0.53
kmess.csv,0.28,0.54,0.04,0.18,0.1,0.75
minig.csv,0.47,0.5,0.61,0.22,0.16,0.63
ossbuild.csv,0.31,0.64,0.42,0.46,0.37,0.6
rezilla.csv,0.64,0.25,0.42,0.12,0.04,0.64
webdriver.csv,0.21,0.71,0.48,0.11,0.45,0.66
