,rezilla.csv,webdriver.csv,minig.csv,ossbuild.csv,jparsec.csv,kmess.csv
jparsec.csv,0.63,0.58,0.39,1.0,0.64,0.49
kmess.csv,0.21,0.42,0.02,0.16,0.07,0.77
minig.csv,0.95,0.6,0.7,0.97,0.09,0.71
ossbuild.csv,0.26,0.73,0.43,0.72,0.29,0.55
rezilla.csv,0.74,0.18,0.3,0.19,0.02,0.67
webdriver.csv,0.16,0.71,0.61,0.06,0.49,0.59
