,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,88.5,181.5,222.0,197.5,73.5,99.0,2105.5,195.5,195.0,197.5
autoopencas.csv,190.0,381.0,872.0,295.0,627.5,99.0,786.5,388.5,160.0,393.5
gogoego.csv,97.5,192.0,578.0,98.5,667.0,99.0,534.0,293.0,98.5,98.5
jam-daq.csv,176.0,94.5,388.5,98.5,412.5,99.0,1364.5,96.5,98.5,98.5
jhotdraw.csv,191.0,85.5,874.0,1797.0,719.0,98.5,2198.0,489.5,376.0,1792.0
pokeglobal.csv,97.5,192.0,389.5,197.5,345.0,99.0,1855.0,392.0,98.5,197.5
robocode.csv,97.5,94.5,682.5,197.5,743.5,197.5,632.5,195.5,98.5,197.5
springside.csv,97.5,91.5,778.5,98.5,495.5,98.5,805.5,193.0,98.5,98.5
trinitycore.csv,302.0,390.0,191.0,295.0,167.0,99.0,77.5,96.5,91.5,295.0
uwom-server.csv,167.0,291.0,579.0,196.5,167.0,99.0,166.0,695.0,89.5,194.5
