,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,ivataopenportal.csv,elynx.csv,cascading.csv,aten.csv,xcmetadataservicestoolkit.csv,lite.csv,codepurge.csv,olex2.csv,stajistics.csv,jfreechart.csv,elvishrayrenderer.csv,uwom.csv,gisgraphy.csv
cascading.csv,0.43,0.2,0.15,0.89,0.61,0.0,0.88,1.0,0.75,0.25,0.22,0.52,0.3,0.0,0.72,0.26,0.39
codepurge.csv,0.42,0.0,0.22,0.94,0.6,0.03,0.83,1.0,0.68,0.36,0.37,0.47,0.57,0.02,0.76,0.19,0.47
crisscross.csv,0.35,0.23,0.37,0.85,0.51,0.02,0.79,0.99,0.68,0.27,0.19,0.46,0.31,0.01,0.65,0.22,0.31
elvishrayrenderer.csv,0.33,1.0,0.17,0.91,0.61,0.03,0.76,1.0,0.76,0.36,0.12,0.45,0.56,0.0,0.83,0.11,0.22
gisgraphy.csv,0.47,0.0,0.16,0.8,1.0,0.0,0.84,1.0,0.5,0.29,0.16,0.45,0.23,0.0,0.67,0.33,0.63
ivataopenportal.csv,0.39,0.23,0.2,0.86,0.68,0.0,0.8,0.99,0.71,0.28,0.14,0.46,0.33,0.01,0.69,0.23,0.31
lite.csv,0.63,0.0,0.09,0.9,0.53,0.0,0.79,1.0,0.79,0.46,0.0,0.58,0.73,0.0,0.67,0.25,0.13
mb-unit.csv,0.35,0.0,0.18,0.9,0.51,0.02,0.8,0.99,0.75,0.28,0.19,0.57,0.34,0.01,0.65,0.23,0.26
nova.csv,0.36,0.48,0.19,0.85,0.49,0.02,0.81,0.99,0.83,0.29,0.13,0.46,0.3,0.01,0.59,0.26,0.28
olex2.csv,0.38,0.37,0.26,0.88,0.51,0.0,0.8,1.0,0.87,0.33,0.14,0.7,0.5,0.01,0.68,0.46,0.12
openwbem.csv,0.54,0.58,0.28,0.88,0.51,0.03,0.77,1.0,0.79,0.24,0.2,0.53,0.37,0.01,0.65,0.39,0.37
stajistics.csv,0.39,0.24,0.17,0.89,0.54,0.02,0.84,0.99,0.7,0.32,0.28,0.35,0.5,0.01,0.67,0.19,0.33
uwom.csv,0.37,0.0,0.3,0.85,0.59,0.02,0.84,0.99,0.67,0.29,0.12,0.14,0.37,0.01,0.66,0.5,0.5
xcmetadataservicestoolkit.csv,0.32,0.17,0.13,0.88,0.51,0.02,0.77,0.99,0.84,0.33,0.11,0.49,0.24,0.01,0.69,0.09,0.2
