,plee-the-bear.csv,google-caja.csv,genecys.csv,itext.csv
genecys.csv,0.97,0.44,0.33,0.63
google-caja.csv,0.71,0.22,0.56,0.27
itext.csv,0.68,1.0,0.56,0.2
plee-the-bear.csv,0.24,0.52,0.56,0.47
