,plee-the-bear.csv,google-caja.csv,genecys.csv,itext.csv
genecys.csv,0.11,0.71,0.82,0.55
google-caja.csv,0.14,0.86,0.87,0.73
itext.csv,0.14,0.85,0.89,0.77
plee-the-bear.csv,0.28,0.7,0.66,0.61
