,plee-the-bear.csv,google-caja.csv,genecys.csv,itext.csv
genecys.csv,0.42,0.44,0.54,0.54
google-caja.csv,0.38,0.34,0.35,0.31
itext.csv,0.39,0.33,0.37,0.35
plee-the-bear.csv,0.51,0.38,0.32,0.4
