,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,elateportal.csv,factor.csv
elateportal.csv,0.2,0.54,0.15,0.36,0.32,0.4,0.59,0.25,0.17,0.82,1.0,0.77
factor.csv,0.26,0.73,0.17,0.55,0.82,0.58,0.78,0.0,0.15,1.0,1.0,0.91
fceugc.csv,0.3,0.71,0.21,0.56,0.5,0.43,0.71,0.3,0.16,0.8,0.91,0.85
flexpay.csv,0.16,0.48,0.28,0.17,0.0,0.74,0.78,0.34,0.12,0.7,0.8,0.25
jstock.csv,0.13,0.65,0.19,0.6,0.89,0.77,0.84,0.65,0.2,0.86,0.67,0.94
keyczar.csv,0.33,0.4,0.12,0.31,0.14,0.3,0.48,0.12,0.27,0.92,0.93,0.54
modellus.csv,0.17,0.82,0.2,0.67,0.8,0.77,0.79,0.5,0.31,0.75,1.0,1.0
open-data-kit.csv,0.21,0.55,0.17,0.33,0.55,0.59,0.88,0.4,0.16,0.92,0.81,0.71
phet.csv,0.4,0.44,0.11,0.23,0.19,0.33,0.52,0.2,0.13,0.77,0.88,0.55
qtractor.csv,0.16,0.77,0.25,0.56,0.68,0.74,0.79,0.27,0.23,1.0,0.67,0.29
sumatrapdf.csv,0.22,0.6,0.18,0.37,0.74,0.59,0.68,0.3,0.23,0.88,0.96,0.84
synergyspace.csv,0.18,0.54,0.17,0.5,0.53,0.76,0.74,0.25,0.42,0.76,1.0,0.33
