,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,elateportal.csv,factor.csv
elateportal.csv,0.24,0.34,0.21,0.41,0.29,0.39,0.39,0.32,0.26,0.61,0.91,0.75
factor.csv,0.21,0.51,0.19,0.37,0.43,0.6,0.41,0.0,0.18,0.04,0.53,0.93
fceugc.csv,0.38,0.65,0.29,0.61,0.52,0.33,0.71,0.39,0.16,0.55,0.61,0.76
flexpay.csv,0.21,0.45,0.35,0.15,0.0,0.59,0.5,0.48,0.13,0.51,0.16,0.08
jstock.csv,0.13,0.54,0.26,0.39,0.4,0.41,0.42,0.73,0.11,0.22,0.09,0.53
keyczar.csv,0.1,0.28,0.02,0.24,0.16,0.17,0.27,0.15,0.2,0.8,0.94,0.26
modellus.csv,0.22,0.62,0.29,0.3,0.63,0.78,0.78,0.43,0.36,0.3,0.09,0.09
open-data-kit.csv,0.3,0.65,0.28,0.5,0.55,0.71,0.81,0.56,0.26,0.39,0.62,0.83
phet.csv,0.5,0.48,0.13,0.29,0.24,0.32,0.54,0.32,0.19,0.87,0.91,0.54
qtractor.csv,0.21,0.68,0.31,0.51,0.61,0.67,0.56,0.34,0.28,0.08,0.09,0.08
sumatrapdf.csv,0.34,0.73,0.3,0.48,0.74,0.71,0.77,0.45,0.36,0.6,0.66,0.87
synergyspace.csv,0.22,0.34,0.26,0.16,0.55,0.6,0.45,0.32,0.5,0.4,0.17,0.05
