,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,elateportal.csv,factor.csv
elateportal.csv,0.32,0.25,0.37,0.48,0.26,0.38,0.29,0.46,0.54,0.48,0.84,0.73
factor.csv,0.17,0.39,0.22,0.29,0.29,0.62,0.28,0.0,0.23,0.02,0.36,0.95
fceugc.csv,0.52,0.61,0.46,0.67,0.55,0.27,0.72,0.54,0.15,0.42,0.45,0.68
flexpay.csv,0.32,0.43,0.49,0.14,0.0,0.49,0.37,0.77,0.15,0.4,0.09,0.05
jstock.csv,0.13,0.46,0.39,0.29,0.26,0.28,0.28,0.85,0.08,0.12,0.05,0.37
keyczar.csv,0.06,0.21,0.01,0.19,0.19,0.12,0.18,0.23,0.15,0.71,0.95,0.17
modellus.csv,0.33,0.5,0.53,0.19,0.52,0.79,0.78,0.38,0.42,0.19,0.05,0.05
open-data-kit.csv,0.54,0.79,0.82,1.0,0.55,0.92,0.75,0.92,0.62,0.25,0.5,1.0
phet.csv,0.67,0.54,0.17,0.38,0.35,0.31,0.55,0.69,0.35,1.0,0.95,0.54
qtractor.csv,0.3,0.61,0.42,0.48,0.55,0.62,0.43,0.46,0.35,0.04,0.05,0.05
sumatrapdf.csv,0.75,0.93,0.92,0.71,0.74,0.91,0.88,0.92,0.88,0.46,0.5,0.9
synergyspace.csv,0.28,0.25,0.51,0.1,0.58,0.49,0.33,0.46,0.62,0.27,0.09,0.02
