,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,elateportal.csv,factor.csv
elateportal.csv,1.0,0.0,0.0,5.0,3.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0
factor.csv,2.0,0.0,4.0,1.0,0.0,0.0,0.0,55.0,5.0,0.0,0.0,0.0
fceugc.csv,2.0,3.0,1.0,0.0,1.0,3.0,2.0,1.0,5.0,2.0,1.0,0.0
flexpay.csv,5.0,3.0,3.0,0.0,85.0,1.0,0.0,0.0,11.0,1.0,0.0,4.0
jstock.csv,7.0,4.0,0.0,1.0,0.0,3.0,1.0,0.0,8.0,1.0,1.0,0.0
keyczar.csv,4.0,2.0,2.0,2.0,8.0,10.0,1.0,4.0,2.0,0.0,1.0,2.0
modellus.csv,8.0,0.0,2.0,1.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0
open-data-kit.csv,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0
phet.csv,3.0,3.0,2.0,0.0,3.0,2.0,5.0,4.0,1.0,3.0,3.0,0.0
qtractor.csv,1.0,0.0,2.0,1.0,0.0,2.0,0.0,9.0,0.0,0.0,1.0,3.0
sumatrapdf.csv,4.0,0.0,1.0,3.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0
synergyspace.csv,2.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0
