,ltp.csv,konversation.csv,moviesandbox.csv,sepgsql.csv,migen.csv,mcmc-jags.csv,cataclysmos.csv,ildjit.csv,opengs.csv,tcl.csv,phonon-vlc-mplayer.csv,openxava.csv,unflobtactical.csv,micomt.csv,nebuladevice.csv,passwordsafe.csv,exl.csv,crux-framework.csv
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
exl.csv,0.68,0.19,0.65,0.05,0.5,0.34,0.05,0.31,0.48,0.51,0.38,0.19,0.59,0.17,0.24,0.5,1.0,0.04
ildjit.csv,0.45,0.0,0.0,0.06,0.25,0.0,0.0,0.97,0.0,0.67,0.23,0.0,0.0,0.0,0.0,0.38,0.0,0.0
konversation.csv,0.62,1.0,0.8,0.03,0.7,1.0,0.0,0.08,0.35,0.55,0.36,0.46,0.75,0.13,0.14,0.37,0.76,0.07
ltp.csv,0.99,0.07,0.65,0.05,0.48,0.2,0.03,0.13,0.29,0.59,0.46,0.01,0.61,0.21,0.24,0.37,0.79,0.04
mcmc-jags.csv,0.72,0.22,0.65,0.05,0.51,1.0,0.05,0.13,0.59,0.43,0.51,0.11,0.7,0.35,0.2,0.56,0.85,0.04
micomt.csv,0.71,0.21,0.69,0.08,0.5,0.55,0.04,0.28,0.45,0.56,0.64,0.2,0.63,1.0,0.11,0.53,0.84,0.04
migen.csv,0.61,0.24,0.68,0.07,1.0,0.11,0.06,0.26,0.43,0.38,0.45,0.17,0.75,0.38,0.23,0.51,0.89,0.04
moviesandbox.csv,0.79,0.28,1.0,0.07,0.55,0.5,0.0,0.09,0.64,0.45,0.64,0.42,0.75,0.64,0.13,0.73,0.86,0.03
nebuladevice.csv,0.43,0.33,1.0,0.1,0.5,0.31,0.07,0.27,0.75,0.45,0.06,0.55,0.64,0.11,1.0,0.31,0.43,0.03
opengs.csv,0.67,0.39,0.69,0.06,0.58,0.0,0.09,0.32,1.0,0.67,1.0,0.18,0.88,0.5,0.15,0.76,0.96,0.02
openxava.csv,0.62,0.15,0.64,0.06,0.44,0.24,0.06,0.29,0.51,0.54,0.11,1.0,0.41,0.05,0.24,0.32,0.87,0.02
passwordsafe.csv,0.67,0.2,0.65,0.05,0.5,0.25,0.04,0.12,0.52,0.49,0.52,0.14,0.68,0.35,0.34,1.0,0.84,0.02
phonon-vlc-mplayer.csv,0.71,0.27,0.72,0.05,0.47,0.62,0.04,0.12,0.6,0.55,1.0,0.07,0.64,0.69,0.1,0.38,0.8,0.03
sepgsql.csv,0.38,0.0,0.43,1.0,0.29,0.15,0.0,0.35,0.0,0.46,0.2,0.5,0.37,0.0,0.08,0.29,0.38,0.0
tcl.csv,0.67,0.08,0.25,0.04,0.4,0.18,0.0,0.36,0.6,0.97,0.15,0.0,0.25,0.33,0.17,0.27,0.67,0.0
unflobtactical.csv,0.81,0.18,0.57,0.11,0.49,0.55,0.05,0.15,0.45,0.62,0.26,0.12,1.0,0.43,0.18,0.41,0.75,0.04
