,ltp.csv,konversation.csv,moviesandbox.csv,sepgsql.csv,migen.csv,mcmc-jags.csv,cataclysmos.csv,ildjit.csv,opengs.csv,tcl.csv,phonon-vlc-mplayer.csv,openxava.csv,unflobtactical.csv,micomt.csv,nebuladevice.csv,passwordsafe.csv,exl.csv,crux-framework.csv
crux-framework.csv,471.0,101.0,78.0,584.0,76.0,56.0,52.0,125.0,0.0,78.0,256.0,147.0,60.0,71.0,85.0,158.0,53.0,0.0
exl.csv,1.0,5.0,0.0,10.0,0.0,1.0,19.0,4.0,1.0,0.0,4.0,4.0,7.0,1.0,1.0,2.0,0.0,35.0
ildjit.csv,4.0,101.0,78.0,21.0,1.0,56.0,52.0,0.0,130.0,0.0,0.0,147.0,60.0,71.0,85.0,5.0,53.0,111.0
konversation.csv,2.0,0.0,1.0,52.0,2.0,0.0,52.0,16.0,11.0,0.0,17.0,5.0,0.0,3.0,4.0,0.0,0.0,10.0
ltp.csv,0.0,9.0,0.0,37.0,1.0,0.0,28.0,16.0,2.0,0.0,4.0,98.0,0.0,3.0,0.0,5.0,2.0,33.0
mcmc-jags.csv,2.0,8.0,0.0,11.0,3.0,0.0,21.0,15.0,1.0,0.0,7.0,33.0,0.0,1.0,0.0,0.0,0.0,43.0
micomt.csv,2.0,14.0,0.0,11.0,9.0,0.0,22.0,2.0,2.0,3.0,7.0,32.0,0.0,0.0,17.0,0.0,0.0,46.0
migen.csv,2.0,3.0,0.0,31.0,0.0,6.0,15.0,11.0,4.0,0.0,6.0,19.0,0.0,3.0,1.0,1.0,0.0,23.0
moviesandbox.csv,0.0,6.0,0.0,7.0,1.0,4.0,52.0,4.0,0.0,0.0,3.0,4.0,2.0,1.0,10.0,0.0,0.0,30.0
nebuladevice.csv,0.0,6.0,0.0,29.0,7.0,0.0,13.0,0.0,1.0,0.0,5.0,0.0,0.0,18.0,0.0,0.0,0.0,28.0
opengs.csv,1.0,8.0,0.0,12.0,2.0,56.0,10.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,8.0,0.0,0.0,39.0
openxava.csv,0.0,36.0,1.0,26.0,6.0,8.0,17.0,9.0,4.0,0.0,8.0,0.0,0.0,30.0,0.0,2.0,2.0,44.0
passwordsafe.csv,2.0,3.0,0.0,54.0,1.0,0.0,26.0,9.0,5.0,0.0,7.0,32.0,1.0,4.0,0.0,0.0,0.0,51.0
phonon-vlc-mplayer.csv,2.0,9.0,1.0,39.0,2.0,0.0,22.0,10.0,0.0,0.0,0.0,96.0,0.0,1.0,30.0,2.0,0.0,31.0
sepgsql.csv,2.0,101.0,2.0,0.0,2.0,2.0,52.0,10.0,130.0,0.0,16.0,0.0,0.0,71.0,11.0,0.0,4.0,111.0
tcl.csv,1.0,19.0,0.0,31.0,1.0,0.0,52.0,7.0,1.0,0.0,25.0,147.0,0.0,3.0,11.0,5.0,0.0,111.0
unflobtactical.csv,0.0,18.0,1.0,1.0,5.0,3.0,18.0,7.0,5.0,0.0,19.0,21.0,0.0,1.0,4.0,0.0,1.0,40.0
