,recall,precision,pf,wins
crux-framework.csv,0.0,0.0,0.0,3
exl.csv,0.81,0.36,0.545,6
ildjit.csv,0.0,0.0,0.04,1
konversation.csv,0.265,0.41500000000000004,0.135,13
ltp.csv,0.445,0.265,0.43000000000000005,2
mcmc-jags.csv,0.745,0.47,0.45499999999999996,11
micomt.csv,0.67,0.515,0.385,14
migen.csv,0.56,0.38,0.28500000000000003,12
moviesandbox.csv,0.5,0.525,0.21,15
nebuladevice.csv,0.265,0.38,0.175,10
opengs.csv,0.5549999999999999,0.54,0.155,16
openxava.csv,0.645,0.305,0.585,0
passwordsafe.csv,0.81,0.42,0.525,8
phonon-vlc-mplayer.csv,0.6799999999999999,0.51,0.515,9
sepgsql.csv,0.13,0.29,0.25,4
tcl.csv,0.135,0.25,0.19,5
unflobtactical.csv,0.545,0.42,0.405,7
