,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv
atomsite.csv,0.52,0.75,0.94,0.55,0.67,0.88,0.86,0.64,0.65,0.67,0.0,0.51,0.55,0.67,0.75,0.91
betoffice.csv,0.88,0.97,0.88,0.66,0.92,0.94,0.9,0.64,0.83,0.72,0.62,0.96,0.9,0.95,0.76,0.99
bionote.csv,0.8,0.0,0.94,0.0,0.88,0.67,0.5,0.0,0.95,0.0,0.0,0.67,0.86,0.8,0.75,0.94
bnetd.csv,0.3,0.37,0.51,0.36,0.44,0.37,0.61,0.41,0.43,0.38,0.5,0.31,0.44,0.37,0.32,0.35
emisview.csv,0.64,0.94,0.86,0.69,0.91,0.64,0.91,0.92,0.75,0.79,0.5,0.58,0.9,0.53,0.6,0.91
findbugs.csv,0.68,0.51,0.6,0.86,0.83,0.92,0.86,0.68,0.71,0.72,0.69,0.95,0.77,0.8,0.67,0.63
hazelcast.csv,0.3,0.37,0.45,0.34,0.35,0.3,0.37,0.36,0.36,0.42,0.36,0.32,0.37,0.33,0.29,0.33
jitterbit.csv,0.62,0.62,0.59,0.92,0.61,0.7,0.89,0.75,0.73,0.81,0.58,0.91,0.62,0.58,0.65,0.55
jppf-project.csv,0.39,0.39,0.64,0.4,0.43,0.3,0.42,0.46,0.44,0.5,0.43,0.35,0.41,0.36,0.35,0.49
kolmafia.csv,0.38,0.34,0.67,0.48,0.44,0.38,0.75,0.53,0.58,0.52,0.82,0.38,0.5,0.42,0.41,0.46
megasquirtavr.csv,0.33,0.39,0.84,0.39,0.4,0.3,0.4,0.42,0.39,0.5,0.42,0.33,0.37,0.35,0.32,0.46
qedo.csv,0.0,0.75,0.83,0.83,0.0,0.75,0.67,0.0,0.89,0.89,0.94,0.95,0.0,0.0,0.0,0.95
trackit.csv,0.43,0.46,0.8,0.65,0.49,0.62,0.55,0.85,0.53,0.96,0.94,0.43,0.58,0.48,0.58,0.46
wxlua.csv,0.35,0.38,0.53,0.4,0.43,0.3,0.4,0.39,0.38,0.52,0.46,0.35,0.39,0.35,0.31,0.4
x4x.csv,0.39,0.34,0.8,0.39,0.4,0.54,0.46,0.61,0.47,0.7,0.46,0.52,0.39,0.36,0.37,0.4
xharbour.csv,0.35,0.38,0.51,0.58,0.45,0.8,0.48,0.5,0.63,0.78,0.41,0.88,0.56,0.47,0.49,0.43
