,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv
atomsite.csv,0.76,1.0,0.24,0.91,0.73,0.38,0.79,0.51,0.36,0.67,1.0,0.87,0.19,0.53,0.35,0.09
betoffice.csv,0.62,0.6,0.12,0.29,0.92,0.31,0.5,1.0,0.17,0.92,0.46,0.91,0.0,0.62,0.48,0.11
bionote.csv,0.8,0.0,0.06,0.0,0.5,0.33,0.0,0.0,0.9,0.0,0.0,1.0,1.0,0.8,0.75,0.0
bnetd.csv,0.74,0.81,0.3,0.42,0.87,0.35,0.44,0.56,0.35,0.93,1.0,0.92,0.21,0.67,0.27,0.12
emisview.csv,0.71,1.0,0.43,0.5,1.0,1.0,0.73,0.46,0.44,1.0,1.0,0.9,0.2,0.7,0.4,0.05
findbugs.csv,0.63,0.82,0.18,0.23,0.72,0.46,0.71,0.43,0.37,0.95,0.48,1.0,0.31,0.52,1.0,0.04
hazelcast.csv,0.79,0.83,0.34,0.34,1.0,0.31,0.62,0.49,0.27,0.9,0.56,0.92,0.13,0.59,0.37,0.11
jitterbit.csv,0.62,0.89,0.18,0.31,0.94,0.3,0.78,0.4,0.99,0.88,0.6,1.0,0.23,0.56,0.55,0.02
jppf-project.csv,0.82,0.82,0.18,0.31,0.87,0.31,0.63,0.45,0.21,0.92,0.51,1.0,0.12,0.59,0.4,0.06
kolmafia.csv,0.79,0.85,0.67,0.44,1.0,0.36,0.58,0.53,0.45,0.9,0.73,0.91,0.25,1.0,0.41,0.04
megasquirtavr.csv,0.78,0.82,1.0,0.33,0.86,0.3,0.65,0.5,0.27,0.92,0.53,0.92,0.13,0.55,0.38,0.09
qedo.csv,0.0,0.75,0.17,0.5,1.0,0.25,1.0,0.0,0.22,0.92,0.44,1.0,0.0,0.0,0.0,1.0
trackit.csv,0.79,0.9,0.8,0.35,0.91,0.25,0.98,0.54,0.18,0.81,0.41,0.94,0.21,0.64,0.39,0.05
wxlua.csv,0.78,0.82,0.25,0.31,0.84,0.32,0.65,0.5,0.27,1.0,0.5,0.92,0.11,0.54,0.38,0.1
x4x.csv,1.0,0.89,0.8,0.36,0.93,0.39,0.67,0.55,0.21,0.93,0.54,0.92,0.14,0.56,0.4,0.1
xharbour.csv,0.77,1.0,0.26,0.36,0.84,0.4,0.7,0.45,0.33,0.92,0.52,0.96,0.14,0.57,0.49,0.08
