,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv
atomsite.csv,0.45,0.05,0.2,0.91,0.44,0.26,0.27,0.53,0.62,0.02,0.03,0.45,0.75,0.34,0.25,0.5
betoffice.csv,0.12,0.21,0.05,0.5,0.2,0.22,0.12,0.87,0.18,0.68,0.44,0.23,0.0,0.28,0.43,0.41
bionote.csv,0.1,0.0,0.05,0.0,0.07,0.04,0.0,0.0,0.11,0.0,0.0,0.03,0.88,0.09,0.11,0.0
bnetd.csv,0.76,0.91,0.55,0.68,0.62,0.74,0.2,0.78,0.73,0.48,0.97,0.87,0.88,0.85,0.57,0.91
emisview.csv,0.24,0.18,0.3,0.36,0.2,0.96,0.2,0.13,0.37,0.22,0.05,0.3,0.25,0.45,0.29,0.09
findbugs.csv,0.29,0.48,0.75,0.23,0.24,0.26,0.49,0.42,0.63,0.69,0.51,0.22,0.5,0.28,0.96,0.18
hazelcast.csv,0.88,0.98,0.65,0.91,1.0,1.0,0.78,0.84,0.9,0.74,0.79,0.97,0.88,1.0,0.82,0.95
jitterbit.csv,0.24,0.46,0.75,0.18,0.31,0.26,0.17,0.18,0.97,0.43,0.69,0.12,0.38,0.53,0.39,0.09
jppf-project.csv,0.86,1.0,0.7,0.95,0.85,0.96,0.93,0.76,0.63,1.0,0.95,1.0,0.75,0.94,0.86,0.68
kolmafia.csv,0.55,0.61,0.1,0.5,0.49,0.65,0.17,0.42,0.46,0.32,0.21,0.58,0.75,0.96,0.5,0.14
megasquirtavr.csv,0.95,1.0,0.95,1.0,0.98,1.0,0.98,0.87,0.96,1.0,1.0,1.0,1.0,1.0,0.96,1.0
qedo.csv,0.0,0.03,0.05,0.14,0.02,0.04,0.07,0.0,0.01,0.38,0.18,0.21,0.0,0.0,0.0,1.0
trackit.csv,0.52,0.43,0.2,0.27,0.58,0.26,0.95,0.31,0.38,0.24,0.18,0.5,0.5,0.45,0.43,0.23
wxlua.csv,0.95,0.98,0.9,0.95,0.93,1.0,0.98,1.0,0.95,1.0,0.87,0.95,0.75,0.96,0.96,1.0
x4x.csv,0.98,0.72,0.2,0.73,0.76,0.48,0.78,0.38,0.47,0.28,0.77,0.52,0.88,0.87,0.82,0.73
xharbour.csv,0.95,1.0,0.95,0.59,0.84,0.35,0.85,0.62,0.63,0.42,0.92,0.26,0.62,0.6,0.79,0.73
