,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.0,0.0,0.25,0.27,0.0,0.25,0.24,0.06,0.89,0.2
ibatisdb.csv,0.0,0.0,0.17,0.18,0.37,0.44,0.38,0.42,0.51,0.98
jmol.csv,0.11,0.36,0.42,0.55,0.0,1.0,0.54,0.65,0.58,0.67
liferea.csv,0.21,0.37,0.48,0.93,0.0,0.52,0.04,0.45,0.47,0.29
log4net.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pclasses.csv,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.07
psrchive.csv,0.21,0.38,1.0,0.1,0.64,0.32,0.41,0.05,0.51,0.2
re2c.csv,0.49,1.0,0.64,0.18,0.65,0.47,0.37,0.55,0.58,0.59
tycho.csv,0.48,0.73,0.4,0.42,0.35,0.5,1.0,0.04,0.62,0.47
xfce.csv,0.46,0.65,0.65,0.64,0.79,0.59,0.54,0.98,0.51,0.34
