,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.0,0.0,0.83,0.83,0.85,0.78,0.88,0.91,0.93,0.88
ibatisdb.csv,0.86,0.86,0.92,0.86,0.89,0.72,0.73,0.73,0.7,0.8
jmol.csv,0.94,0.48,0.59,0.38,0.58,0.38,0.56,0.43,0.48,0.57
liferea.csv,0.8,0.4,0.68,0.75,0.46,0.43,0.0,0.43,0.57,0.76
log4net.csv,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0
pclasses.csv,0.91,0.0,0.67,0.0,0.96,0.5,0.0,0.0,0.83,0.95
psrchive.csv,0.8,0.83,0.93,0.0,0.76,0.84,0.6,0.9,0.8,0.82
re2c.csv,0.57,0.83,0.51,0.71,0.8,0.69,0.65,0.56,0.63,0.83
tycho.csv,0.5,0.58,0.77,0.62,0.69,0.52,0.54,0.92,0.66,0.48
xfce.csv,0.52,0.37,0.5,0.35,0.42,0.34,0.42,0.47,0.51,0.49
