,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.0,0.02,0.04,0.07,0.42,0.09,0.04,0.04,0.01,0.44
ibatisdb.csv,0.12,0.14,0.13,0.27,0.21,0.3,0.36,0.56,0.42,0.0
jmol.csv,0.27,0.49,0.6,0.7,0.55,0.0,0.46,0.42,0.5,0.41
liferea.csv,0.14,0.35,0.17,0.0,0.3,0.26,0.0,0.16,0.2,0.11
log4net.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pclasses.csv,0.0,0.0,0.04,0.0,0.38,0.04,0.0,0.0,0.05,0.17
psrchive.csv,0.05,0.08,0.0,0.0,0.44,0.13,0.25,0.04,0.24,0.31
re2c.csv,0.29,0.0,0.35,0.34,0.4,0.35,0.39,0.48,0.49,0.21
tycho.csv,0.3,0.51,0.23,0.25,0.54,0.48,0.0,0.09,0.31,0.83
xfce.csv,0.5,0.65,0.51,0.5,0.57,0.74,0.61,0.0,0.47,0.63
