,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,1.0,1.0,0.79,0.77,1.08,0.8,0.8,0.95,0.13,0.94
ibatisdb.csv,1.01,1.01,0.87,0.89,0.7,0.68,0.75,0.81,0.66,0.03
jmol.csv,0.95,0.83,0.83,0.77,1.14,0.0,0.65,0.53,0.64,0.51
liferea.csv,0.83,0.75,0.6,0.08,1.04,0.59,0.97,0.62,0.6,0.76
log4net.csv,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
pclasses.csv,0.0,1.0,1.0,1.0,1.07,0.99,1.0,1.0,1.0,0.96
psrchive.csv,0.82,0.67,0.0,0.92,0.55,0.73,0.68,0.96,0.59,0.89
re2c.csv,0.62,0.0,0.5,0.91,0.52,0.66,0.77,0.65,0.63,0.49
tycho.csv,0.62,0.54,0.68,0.66,0.86,0.7,0.0,0.97,0.51,0.84
xfce.csv,0.74,0.67,0.58,0.59,0.57,0.75,0.73,0.02,0.69,0.92
