,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.57,0.71,0.44,0.34,0.52,0.13,0.18,0.25,0.33,0.16,0.85,0.43
e-bio-flow.csv,0.64,0.65,0.68,0.72,0.67,0.17,0.3,0.26,0.23,0.17,0.84,0.32
freedom-erp.csv,0.57,0.19,0.44,0.59,0.78,0.0,0.26,0.4,0.36,0.0,0.27,0.16
jbasic.csv,0.78,0.5,0.5,0.75,0.74,0.06,0.32,0.29,0.84,0.21,0.57,0.38
jgossipforum.csv,0.54,0.54,0.43,0.54,0.08,0.4,0.5,0.48,0.37,0.19,0.28,0.4
joustsim.csv,0.31,0.68,0.32,0.67,0.19,0.15,0.74,0.32,0.56,0.14,0.71,0.36
jsidplay2.csv,0.86,0.59,0.51,0.61,0.75,0.08,0.29,0.2,0.82,0.13,0.76,0.28
madman.csv,0.47,0.47,0.41,0.55,0.42,0.03,0.32,0.54,0.2,0.12,0.31,0.14
mule.csv,0.56,0.7,0.53,0.32,0.8,0.03,0.42,0.12,0.48,0.2,0.63,0.41
nunit.csv,0.47,0.51,0.43,0.65,0.35,0.09,0.29,0.14,0.17,0.18,0.66,0.51
power-architect.csv,0.75,0.71,0.47,0.4,0.65,0.03,0.26,0.25,0.83,0.14,0.87,0.36
reaper3d.csv,0.76,0.52,0.52,0.59,0.7,0.07,0.37,0.42,0.68,0.29,0.6,0.24
