,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.89,0.66,0.55,0.6,0.79,0.1,0.18,0.14,0.92,0.09,0.91,0.44
e-bio-flow.csv,0.86,0.64,0.63,0.62,0.62,0.14,0.33,0.15,1.0,0.09,0.9,0.25
freedom-erp.csv,0.89,0.73,0.45,0.7,0.78,0.0,0.25,0.43,0.68,0.0,0.81,0.36
jbasic.csv,0.81,0.64,0.38,0.68,0.63,0.03,0.19,0.17,0.78,0.14,0.93,0.25
jgossipforum.csv,0.88,0.7,0.42,0.61,0.67,0.25,0.8,0.35,0.64,0.11,0.94,0.38
joustsim.csv,0.67,0.64,0.35,0.58,0.4,0.08,0.62,0.19,0.75,0.07,0.93,0.24
jsidplay2.csv,0.92,0.7,0.46,0.61,0.61,0.05,0.17,0.14,0.79,0.08,0.87,0.19
madman.csv,0.7,0.58,0.43,0.59,0.71,0.02,0.2,0.39,1.0,0.08,0.91,0.14
mule.csv,0.92,0.72,0.47,0.76,0.67,0.01,0.3,0.08,0.64,0.12,0.9,0.29
nunit.csv,0.77,0.76,0.36,0.61,0.66,0.04,0.2,0.09,1.0,0.1,0.93,0.41
power-architect.csv,0.79,0.62,0.34,0.41,0.58,0.01,0.18,0.14,0.95,0.07,0.89,0.23
reaper3d.csv,0.84,0.64,0.41,0.47,0.63,0.04,0.29,0.31,0.74,0.17,0.87,0.17
