,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.15,0.59,0.17,0.15,0.14,0.04,0.15,0.98,0.07,0.59,0.54,0.14
e-bio-flow.csv,0.25,0.57,0.25,0.48,0.64,0.03,0.1,0.92,0.0,0.58,0.59,0.33
freedom-erp.csv,0.15,0.06,0.31,0.21,0.31,0.16,0.15,0.08,0.43,0.02,0.27,0.05
jbasic.csv,0.5,0.35,0.69,0.36,0.76,0.71,0.7,0.82,1.0,0.18,0.22,0.62
jgossipforum.csv,0.15,0.29,0.35,0.29,0.03,0.07,0.02,0.22,0.57,0.57,0.08,0.18
joustsim.csv,0.3,0.63,0.33,0.53,0.26,0.25,0.1,0.59,0.57,0.87,0.32,0.55
jsidplay2.csv,0.2,0.33,0.38,0.38,0.89,0.09,0.72,0.39,0.86,0.34,0.7,0.62
madman.csv,0.45,0.44,0.31,0.33,0.17,0.29,0.6,0.22,0.0,0.23,0.14,0.25
mule.csv,0.1,0.39,0.38,0.06,0.66,0.32,0.32,0.47,0.86,0.29,0.41,0.43
nunit.csv,0.3,0.18,0.56,0.42,0.17,0.39,0.4,0.63,0.0,0.43,0.3,0.27
power-architect.csv,0.55,0.81,0.81,0.52,0.73,0.64,0.38,0.98,0.14,0.99,0.73,0.73
reaper3d.csv,0.4,0.38,0.62,0.83,0.64,0.48,0.25,0.22,0.86,0.34,0.49,0.59
