,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.54,0.41,0.65,0.76,0.6,0.9,0.73,0.41,0.83,0.51,0.48,0.79
e-bio-flow.csv,0.54,0.45,0.46,0.47,0.39,0.86,0.78,0.38,0.86,0.42,0.48,0.66
freedom-erp.csv,0.61,0.95,0.55,0.7,0.36,0.97,0.67,0.86,0.58,0.5,0.87,0.91
jbasic.csv,0.39,0.62,0.43,0.51,0.33,0.44,0.48,0.42,0.37,0.86,0.54,0.4
jgossipforum.csv,0.5,0.48,0.48,0.53,0.83,0.95,0.8,0.47,0.55,0.42,0.91,0.8
joustsim.csv,0.78,0.42,0.54,0.44,0.97,0.62,0.69,0.44,0.47,0.39,0.48,0.46
jsidplay2.csv,0.38,0.56,0.46,0.52,0.31,0.95,0.5,0.59,0.33,0.57,0.37,0.41
madman.csv,0.67,0.62,0.75,0.63,0.76,0.98,0.56,0.5,0.83,0.76,0.88,0.84
mule.csv,0.5,0.43,0.39,0.88,0.31,0.61,0.48,0.64,0.42,0.64,0.45,0.48
nunit.csv,0.69,0.57,0.44,0.43,0.8,0.47,0.7,0.56,0.8,0.54,0.55,0.61
power-architect.csv,0.49,0.4,0.41,0.59,0.39,0.55,0.57,0.41,0.43,0.37,0.44,0.42
reaper3d.csv,0.43,0.63,0.48,0.53,0.37,0.54,0.52,0.5,0.41,0.46,0.53,0.47
