,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.87,1.0,0.43,1.0,0.3,0.23,0.28,1.0,0.79,0.93,0.17,0.0,1.0
badtrinity-zero.csv,0.03,0.0,0.37,0.0,0.75,0.96,0.05,0.0,0.26,0.43,0.33,1.0,0.69
bibletime.csv,0.54,0.41,0.45,0.32,0.49,0.5,0.53,0.38,0.61,0.21,0.5,0.39,0.3
critterding.csv,0.62,0.27,0.94,0.74,0.95,0.91,0.96,0.55,0.97,1.0,0.83,0.5,0.8
elateportal.csv,0.72,0.78,0.37,0.66,0.41,0.38,0.74,0.52,0.32,0.36,0.0,0.78,0.76
fmri-dmt.csv,0.68,0.71,0.8,0.93,0.41,0.6,0.69,0.83,0.18,0.86,1.0,0.78,0.62
ftm.csv,0.46,0.2,0.13,0.27,0.42,0.42,0.42,0.14,0.11,0.07,0.0,0.22,0.37
gusanos.csv,0.42,0.88,0.15,0.85,0.67,0.06,0.09,0.28,0.48,0.43,0.17,0.0,0.14
monetdb.csv,0.45,0.46,0.18,0.23,0.25,0.28,0.34,0.28,0.16,0.07,0.0,0.06,0.41
quarkplayer.csv,0.25,0.07,0.46,0.22,0.15,0.13,0.31,0.21,0.45,0.21,0.67,0.33,0.06
reactos-mirror.csv,0.27,0.49,0.45,0.47,0.46,0.53,0.7,0.62,0.61,0.64,0.5,1.0,0.2
sandiaportals.csv,0.39,0.66,0.35,0.56,0.47,0.33,0.66,0.72,0.48,0.36,0.0,0.22,0.63
xbplayer.csv,0.24,0.32,0.43,0.3,0.18,0.42,0.48,0.17,0.45,0.21,0.33,0.11,0.21
