,rhex.csv,qgo.csv,dynalloy.csv,rezilla.csv,toped.csv,ossbuild.csv,jaolt.csv,truevision.csv,jcl.csv,wxstudio.csv,quark.csv,kmess.csv
dynalloy.csv,0.81,0.69,0.34,1.0,0.54,0.57,0.66,0.61,0.82,0.99,0.78,0.66
jaolt.csv,0.5,0.54,0.51,0.9,0.59,0.97,0.56,0.63,0.89,0.58,0.59,0.61
jcl.csv,0.9,0.67,0.74,0.79,0.78,0.53,0.72,0.86,0.36,0.63,0.77,0.7
kmess.csv,0.73,0.56,0.66,0.71,0.48,0.91,0.86,0.47,0.84,0.67,0.67,0.55
ossbuild.csv,0.94,0.66,0.54,0.74,0.65,0.34,0.73,0.61,0.45,0.85,0.68,0.65
qgo.csv,0.86,0.16,0.83,0.69,1.0,1.0,0.78,0.99,0.99,0.57,0.83,0.8
quark.csv,1.0,0.66,0.84,0.95,0.85,1.0,0.92,0.72,0.54,0.84,0.31,0.91
rezilla.csv,0.81,0.69,0.97,0.38,0.93,0.88,0.82,0.94,0.81,0.51,0.85,0.83
rhex.csv,0.3,0.63,0.91,0.95,0.64,0.97,0.8,0.65,0.85,0.73,0.83,0.7
toped.csv,0.79,0.86,0.71,0.97,0.18,0.96,0.94,0.73,0.79,0.92,1.0,0.73
truevision.csv,0.75,0.48,0.81,0.59,0.5,1.0,0.73,0.38,0.86,0.67,0.64,0.66
wxstudio.csv,0.58,0.75,0.89,0.84,1.1,1.0,0.7,0.89,1.0,0.41,0.78,0.8
