,agilitybook.csv,gpsmid.csv,empyrean.csv,rectracker.csv,barracudamvc.csv,jajuk.csv,zorannt.csv,sarasvati.csv,gogoego.csv,autoopencas.csv,gbif-providertoolkit.csv,k3d.csv,aime.csv,encog-cs.csv
agilitybook.csv,0.61,0.9,0.58,0.96,0.7,0.82,0.74,0.85,0.75,0.98,0.66,1.0,0.63,0.8
aime.csv,0.98,0.97,1.0,1.0,1.0,0.7,1.0,0.99,0.63,1.0,0.99,1.0,0.71,0.98
autoopencas.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.58,1.0,1.0,1.0,1.0
barracudamvc.csv,0.63,0.98,0.97,0.97,0.65,0.83,1.0,0.98,0.88,0.98,0.99,0.84,0.96,0.98
empyrean.csv,1.0,0.76,0.4,0.84,0.74,0.99,0.42,0.58,1.0,1.0,0.47,1.0,1.0,0.95
encog-cs.csv,0.95,0.74,0.77,0.83,0.63,0.79,0.72,0.98,0.9,1.0,0.78,0.83,0.74,0.6
gbif-providertoolkit.csv,1.0,0.96,0.6,0.88,0.92,0.99,0.6,0.65,0.89,1.0,0.5,1.0,1.0,0.93
gogoego.csv,0.97,0.51,0.97,0.79,0.95,0.63,0.99,0.81,0.68,1.0,0.89,1.0,1.0,0.76
gpsmid.csv,0.68,0.19,0.74,0.61,0.73,0.47,0.6,0.52,0.66,1.0,0.79,0.78,0.7,0.61
jajuk.csv,0.56,0.92,0.95,1.0,1.0,0.27,0.93,0.84,0.63,0.93,0.99,0.75,0.53,0.93
k3d.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rectracker.csv,0.98,0.79,0.84,0.35,0.85,0.73,0.99,0.91,1.0,1.0,1.0,0.99,0.99,0.62
sarasvati.csv,1.0,1.0,0.62,1.0,0.94,1.0,0.79,0.73,1.0,1.0,0.93,1.0,1.0,1.0
zorannt.csv,1.0,1.0,0.5,1.0,0.83,1.0,0.61,0.82,1.0,1.0,0.55,1.0,1.0,1.0
