,agilitybook.csv,gpsmid.csv,empyrean.csv,rectracker.csv,barracudamvc.csv,jajuk.csv,zorannt.csv,sarasvati.csv,gogoego.csv,autoopencas.csv,gbif-providertoolkit.csv,k3d.csv,aime.csv,encog-cs.csv
agilitybook.csv,0.95,0.59,0.58,0.44,0.59,0.76,0.57,0.79,0.78,0.93,0.61,0.0,0.62,0.47
aime.csv,0.97,0.34,0.42,0.3,0.32,0.39,0.5,0.41,0.41,0.0,0.35,0.0,0.83,0.36
autoopencas.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0
barracudamvc.csv,0.58,0.36,0.42,0.33,0.34,0.41,0.5,0.41,0.41,0.75,0.35,0.42,0.46,0.37
empyrean.csv,0.0,0.92,0.54,0.89,0.68,0.0,0.67,0.74,0.0,0.0,0.55,0.0,0.0,0.75
encog-cs.csv,0.67,0.67,0.49,0.32,0.43,0.71,0.55,0.75,0.98,0.0,0.39,0.9,0.56,0.74
gbif-providertoolkit.csv,0.0,0.5,0.58,0.89,0.96,0.0,0.64,0.86,0.96,0.0,0.9,0.0,0.0,0.9
gogoego.csv,0.0,0.33,0.42,0.31,0.32,0.68,0.5,0.42,0.97,0.0,0.35,0.0,0.0,0.55
gpsmid.csv,0.85,0.38,0.46,0.33,0.38,0.43,0.47,0.44,0.66,0.8,0.34,0.96,0.7,0.57
jajuk.csv,0.48,0.35,0.41,0.3,0.32,0.38,0.5,0.41,0.41,0.7,0.35,0.79,0.38,0.36
k3d.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rectracker.csv,0.41,0.33,0.47,0.37,0.33,0.39,0.5,0.43,0.36,0.4,0.36,0.35,0.44,0.48
sarasvati.csv,0.0,0.0,0.57,0.0,0.94,0.0,0.94,0.75,0.0,0.0,0.0,0.0,0.0,0.0
zorannt.csv,0.0,0.0,0.46,0.0,0.95,0.0,0.91,0.89,0.0,0.0,0.55,0.0,0.0,0.0
