,agilitybook.csv,gpsmid.csv,empyrean.csv,rectracker.csv,barracudamvc.csv,jajuk.csv,zorannt.csv,sarasvati.csv,gogoego.csv,autoopencas.csv,gbif-providertoolkit.csv,k3d.csv,aime.csv,encog-cs.csv
agilitybook.csv,1.0,6.0,0.0,0.0,0.0,4.0,24.0,20.0,15.0,0.0,3.0,205.0,6.0,20.0
aime.csv,34.0,6.0,0.0,0.0,0.0,8.0,27.0,24.0,4.0,166.0,3.0,205.0,0.0,16.0
autoopencas.csv,282.0,86.0,106.0,82.0,124.0,262.0,158.0,169.0,0.0,1.0,80.0,205.0,81.0,183.0
barracudamvc.csv,11.0,7.0,0.0,0.0,0.0,9.0,27.0,24.0,5.0,10.0,3.0,0.0,12.0,16.0
empyrean.csv,282.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,335.0,166.0,0.0,205.0,81.0,0.0
encog-cs.csv,1.0,1.0,0.0,0.0,0.0,18.0,35.0,58.0,4.0,166.0,2.0,0.0,4.0,1.0
gbif-providertoolkit.csv,282.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,1.0,166.0,0.0,205.0,81.0,3.0
gogoego.csv,0.0,2.0,0.0,0.0,0.0,1.0,27.0,25.0,0.0,166.0,2.0,205.0,81.0,12.0
gpsmid.csv,3.0,0.0,0.0,2.0,0.0,0.0,6.0,3.0,0.0,166.0,1.0,2.0,8.0,3.0
jajuk.csv,0.0,6.0,0.0,0.0,0.0,1.0,25.0,25.0,0.0,13.0,3.0,4.0,0.0,13.0
k3d.csv,282.0,86.0,106.0,82.0,124.0,262.0,158.0,169.0,335.0,166.0,80.0,205.0,81.0,183.0
rectracker.csv,9.0,3.0,0.0,0.0,0.0,12.0,27.0,21.0,5.0,11.0,3.0,0.0,12.0,2.0
sarasvati.csv,282.0,86.0,0.0,82.0,0.0,262.0,2.0,0.0,335.0,166.0,0.0,205.0,81.0,183.0
zorannt.csv,282.0,86.0,0.0,82.0,0.0,262.0,0.0,1.0,335.0,166.0,6.0,205.0,81.0,183.0
